candidateId,eligible,trainValidationRank,architectureId,sourceSetId,sourceWeightMode,sizingMode,anomalyThreshold,coverageThreshold,minConfidence,weatherFraction,reversionFraction,reversionDemandMode,followHoldDays,reversionHoldDays,minRealizedMovePct,freshHeatLookbackDays,weatherResolutionMode,storageDeficitHeatMultiplier,storageDeficitHeatMaxFraction,storageSeasonalLookbackYears,storageAvailabilityContract,volTargetPct,signals,scheduledEvents,executedRows,storageDeficitHeatTiltRows,coolingDemandReversionRows,weatherResolutionAdjustedRows,weatherResolutionDroppedRows,weatherFollowRows,reversionRows,summerColdShortRows,summerHeatLongRows,reversionLongRows,reversionShortRows,trainValidationSummerColdShortReturnPct,trainValidationSummerHeatLongReturnPct,trainValidationFollowReturnPct,trainValidationReversionLongReturnPct,trainValidationReversionShortReturnPct,trainValidationReversionReturnPct,holdoutFollowReturnPct,holdoutReversionReturnPct,overlayDays,fallbackDays,trainReturnPct,trainIndexReturnPct,trainEdgePct,trainSharpe,trainMaxDrawdownPct,profitableTrainYears,trainYearCount,validationReturnPct,validationIndexReturnPct,validationEdgePct,validationSharpe,validationMaxDrawdownPct,holdoutReturnPct,holdoutIndexReturnPct,holdoutEdgePct,holdoutSharpe,holdoutMaxDrawdownPct,allReturnPct,allIndexReturnPct,allEdgePct,allSharpe,allMaxDrawdownPct
summer-gfs-gefs-core-equal-a5-c0.25-q0.5-wf0.35-rf0.35-rdcooling-demand-tiered-fh3-rh1-mv2-fresh3-wrnone-sdef1.25-vol0-fixed,true,97.6206,summer-weather-follow-and-fade,gfs-gefs-core,equal,fixed,5,0.25,0.5,0.35,0.35,cooling-demand-tiered,3,1,2,3,none,1.25,0.4375,5,versioned-release-calendar-before-session-open,0,279,108,197,68,42,0,0,155,42,0,155,0,42,0,14.17,14.17,0,10.07,10.07,12.56,11.85,197,1190,53.98,33.45,20.53,0.82,-22.73,2,3,31.24,25.17,6.07,1.94,-8.25,54.44,32.92,21.52,1.62,-19.12,212.11,122.02,90.09,1.19,-22.73
summer-gfs-gefs-core-equal-a5-c0.25-q0.5-wf0.35-rf0.35-rdcooling-demand-tiered-fh3-rh1-mv2-fresh3-wrgraded-shift-sdef1.25-vol0-fixed,true,97.6206,summer-weather-follow-and-fade,gfs-gefs-core,equal,fixed,5,0.25,0.5,0.35,0.35,cooling-demand-tiered,3,1,2,3,graded-shift,1.25,0.4375,5,versioned-release-calendar-before-session-open,0,279,108,197,68,42,0,0,155,42,0,155,0,42,0,14.17,14.17,0,10.07,10.07,12.56,11.85,197,1190,53.98,33.45,20.53,0.82,-22.73,2,3,31.24,25.17,6.07,1.94,-8.25,54.44,32.92,21.52,1.62,-19.12,212.11,122.02,90.09,1.19,-22.73
