rank,id,sideMode,trainScore,robustnessPass,trainTotalReturnPct,trainMaxDrawdownPct,trainSharpe,trainProfitFactor,trainTrades,testTotalReturnPct,testMaxDrawdownPct,testSharpe,testProfitFactor,testTrades,fullTotalReturnPct,fullMaxDrawdownPct,fullSharpe,fullProfitFactor,fullTrades,fullColdTrades,fullColdTotalReturnPct,fullWarmTrades,fullWarmTotalReturnPct,coldMaxWeightedAnomalyF,coldMinCoveragePct,coldMinExtremeCount,warmMinWeightedAnomalyF,warmMinCoveragePct,warmMinExtremeCount
89,combined-coldA-14-coldC0p7-coldE0-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,7.27,-20.75,0.58,1.41,9,-6.23,-35.34,0.01,1,18,2,-1.01,16,-5.28,-14,0.7,0,10,0.6,0
90,combined-coldA-14-coldC0p7-coldE4-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,7.27,-20.75,0.58,1.41,9,-6.23,-35.34,0.01,1,18,2,-1.01,16,-5.28,-14,0.7,4,10,0.6,0
91,combined-coldA-14-coldC0p7-coldE8-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-14,0.7,8,10,0.6,0
92,combined-coldA-14-coldC0p7-coldE12-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-14,0.7,12,10,0.6,0
93,combined-coldA-14-coldC0p85-coldE0-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,7.27,-20.75,0.58,1.41,9,-6.23,-35.34,0.01,1,18,2,-1.01,16,-5.28,-14,0.85,0,10,0.6,0
94,combined-coldA-14-coldC0p85-coldE4-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,7.27,-20.75,0.58,1.41,9,-6.23,-35.34,0.01,1,18,2,-1.01,16,-5.28,-14,0.85,4,10,0.6,0
95,combined-coldA-14-coldC0p85-coldE8-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-14,0.85,8,10,0.6,0
96,combined-coldA-14-coldC0p85-coldE12-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-14,0.85,12,10,0.6,0
97,combined-coldA-14-coldC1-coldE0-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,8.9,-7.46,0.9,1.86,8,-4.81,-21.76,-0.04,0.96,17,0,0,17,-4.81,-14,1,0,10,0.6,0
98,combined-coldA-14-coldC1-coldE4-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,8.9,-7.46,0.9,1.86,8,-4.81,-21.76,-0.04,0.96,17,0,0,17,-4.81,-14,1,4,10,0.6,0
99,combined-coldA-14-coldC1-coldE8-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,8.9,-7.46,0.9,1.86,8,-4.81,-21.76,-0.04,0.96,17,0,0,17,-4.81,-14,1,8,10,0.6,0
100,combined-coldA-14-coldC1-coldE12-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,8.9,-7.46,0.9,1.86,8,-4.81,-21.76,-0.04,0.96,17,0,0,17,-4.81,-14,1,12,10,0.6,0
101,combined-coldA-16-coldC0p55-coldE0-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-16,0.55,0,10,0.6,0
102,combined-coldA-16-coldC0p55-coldE4-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-16,0.55,4,10,0.6,0
103,combined-coldA-16-coldC0p55-coldE8-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-16,0.55,8,10,0.6,0
104,combined-coldA-16-coldC0p55-coldE12-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-16,0.55,12,10,0.6,0
105,combined-coldA-16-coldC0p7-coldE0-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-16,0.7,0,10,0.6,0
106,combined-coldA-16-coldC0p7-coldE4-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-16,0.7,4,10,0.6,0
107,combined-coldA-16-coldC0p7-coldE8-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-16,0.7,8,10,0.6,0
108,combined-coldA-16-coldC0p7-coldE12-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-16,0.7,12,10,0.6,0
109,combined-coldA-16-coldC0p85-coldE0-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-16,0.85,0,10,0.6,0
110,combined-coldA-16-coldC0p85-coldE4-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-16,0.85,4,10,0.6,0
111,combined-coldA-16-coldC0p85-coldE8-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-16,0.85,8,10,0.6,0
112,combined-coldA-16-coldC0p85-coldE12-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-16,0.85,12,10,0.6,0
113,combined-coldA-16-coldC1-coldE0-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,8.9,-7.46,0.9,1.86,8,-4.81,-21.76,-0.04,0.96,17,0,0,17,-4.81,-16,1,0,10,0.6,0
114,combined-coldA-16-coldC1-coldE4-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,8.9,-7.46,0.9,1.86,8,-4.81,-21.76,-0.04,0.96,17,0,0,17,-4.81,-16,1,4,10,0.6,0
115,combined-coldA-16-coldC1-coldE8-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,8.9,-7.46,0.9,1.86,8,-4.81,-21.76,-0.04,0.96,17,0,0,17,-4.81,-16,1,8,10,0.6,0
116,combined-coldA-16-coldC1-coldE12-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,8.9,-7.46,0.9,1.86,8,-4.81,-21.76,-0.04,0.96,17,0,0,17,-4.81,-16,1,12,10,0.6,0
117,combined-coldA-18-coldC0p55-coldE0-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-18,0.55,0,10,0.6,0
118,combined-coldA-18-coldC0p55-coldE4-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-18,0.55,4,10,0.6,0
119,combined-coldA-18-coldC0p55-coldE8-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-18,0.55,8,10,0.6,0
120,combined-coldA-18-coldC0p55-coldE12-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-18,0.55,12,10,0.6,0
