candidateId,eligible,trainRank,volatilityLookbackSessions,reversalZThreshold,minVolatilityPct,maxVolatilityPct,trainTrades,trainReturnPct,trainSharpe,trainSortino,trainMaxDrawdownPct,trainProfitFactor,profitableTrainYears,trainYearCount,holdoutTrades,holdoutReturnPct,holdoutSharpe,holdoutSortino,holdoutMaxDrawdownPct,holdoutProfitFactor,allTrades,allReturnPct,allSharpe,allSortino,allMaxDrawdownPct
lb60-z2-vol2.5-6,false,109.9387,60,2,2.5,6,52,12.36,0.49,0.79,-3.32,2.02,11,14,10,6.21,4.27,7.59,-1.34,5.31,62,19.33,0.61,1.06,-3.32
lb60-z2-vol2.5-8,false,109.9387,60,2,2.5,8,52,12.36,0.49,0.79,-3.32,2.02,11,14,10,6.21,4.27,7.59,-1.34,5.31,62,19.33,0.61,1.06,-3.32
lb60-z2-vol2.5-99,false,109.9387,60,2,2.5,99,52,12.36,0.49,0.79,-3.32,2.02,11,14,10,6.21,4.27,7.59,-1.34,5.31,62,19.33,0.61,1.06,-3.32
lb40-z1-vol1.5-5,false,109.6526,40,1,1.5,5,488,28.85,0.38,0.57,-8.13,1.21,13,18,25,1,0.57,0.76,-2.08,1.16,513,30.13,0.37,0.56,-8.13
lb20-z0.35-vol2.5-6,false,109.5702,20,0.35,2.5,6,813,37.53,0.35,0.55,-14.25,1.14,10,17,55,7.5,2.03,3.28,-2.08,1.63,868,47.85,0.4,0.63,-14.25
lb40-z1-vol2.5-6,false,109.5163,40,1,2.5,6,337,30.47,0.43,0.67,-6.06,1.29,11,16,28,4.95,1.91,3.23,-2.08,1.68,365,36.93,0.47,0.74,-6.06
lb20-z0.65-vol3-4,false,109.2656,20,0.65,3,4,206,25.93,0.5,0.72,-6.97,1.47,10,16,13,0.59,0.4,0.82,-1.26,1.25,219,26.68,0.49,0.71,-6.97
lb40-z1-vol0-6,false,109.2479,40,1,0,6,537,30.96,0.38,0.58,-10.24,1.2,12,18,28,4.95,1.91,3.23,-2.08,1.68,565,37.44,0.42,0.65,-10.24
lb40-z1-vol1-6,false,109.2479,40,1,1,6,537,30.96,0.38,0.58,-10.24,1.2,12,18,28,4.95,1.91,3.23,-2.08,1.68,565,37.44,0.42,0.65,-10.24
lb40-z1-vol2.5-5,false,109.1136,40,1,2.5,5,291,29.14,0.44,0.67,-8.13,1.33,12,16,25,1,0.57,0.76,-2.08,1.16,316,30.43,0.43,0.65,-8.13
lb60-z0.35-vol3-4,false,108.9495,60,0.35,3,4,401,28.42,0.42,0.68,-7.4,1.25,10,14,23,9.36,6.21,7.99,-2.08,3.44,424,40.44,0.52,0.85,-7.4
lb40-z1-vol1.5-6,false,108.7227,40,1,1.5,6,534,30.18,0.38,0.57,-10.24,1.2,12,18,28,4.95,1.91,3.23,-2.08,1.68,562,36.62,0.42,0.64,-10.24
lb30-z2-vol0-5,false,108.4843,30,2,0,5,97,16.63,0.47,0.71,-4.96,1.72,13,17,6,-0.86,-1.84,-1.57,-1.34,0.39,103,15.63,0.42,0.64,-4.96
lb30-z2-vol1-5,false,108.4843,30,2,1,5,97,16.63,0.47,0.71,-4.96,1.72,13,17,6,-0.86,-1.84,-1.57,-1.34,0.39,103,15.63,0.42,0.64,-4.96
lb30-z1-vol0-6,false,108.3696,30,1,0,6,548,27.45,0.35,0.52,-9.91,1.18,14,18,29,3.12,0.99,1.63,-2.08,1.4,577,31.42,0.37,0.55,-9.91
lb30-z1-vol1-6,false,108.3696,30,1,1,6,548,27.45,0.35,0.52,-9.91,1.18,14,18,29,3.12,0.99,1.63,-2.08,1.4,577,31.42,0.37,0.55,-9.91
lb40-z1-vol2-6,false,108.2728,40,1,2,6,467,29.01,0.37,0.56,-7.63,1.21,13,18,28,4.95,1.91,3.23,-2.08,1.68,495,35.39,0.41,0.63,-7.63
lb40-z0.35-vol2.5-4,false,108.1836,40,0.35,2.5,4,566,33.71,0.4,0.62,-10.83,1.2,9,17,44,6.88,2.93,4.49,-2.41,1.69,610,42.9,0.46,0.72,-10.83
lb40-z0.5-vol2-5,false,108.0128,40,0.5,2,5,826,30.33,0.32,0.49,-14.89,1.13,12,18,39,5.52,2.44,3.47,-2.08,1.66,865,37.53,0.36,0.55,-14.89
lb40-z0.35-vol0-4,false,107.9065,40,0.35,0,4,978,30.87,0.32,0.48,-12.6,1.12,9,18,44,6.88,2.93,4.49,-2.41,1.69,1022,39.86,0.38,0.56,-12.6
lb40-z0.35-vol1-4,false,107.9065,40,0.35,1,4,978,30.87,0.32,0.48,-12.6,1.12,9,18,44,6.88,2.93,4.49,-2.41,1.69,1022,39.86,0.38,0.56,-12.6
lb40-z0.35-vol3-4,false,107.7819,40,0.35,3,4,398,28.92,0.42,0.66,-8.3,1.25,10,16,21,7.81,5.8,7.78,-2.08,3.03,419,38.98,0.5,0.8,-8.3
lb30-z2-vol0-6,false,107.6458,30,2,0,6,99,16.43,0.46,0.71,-4.96,1.69,13,17,7,1.79,1.5,2.72,-1.34,2.28,106,18.51,0.47,0.74,-4.96
lb30-z2-vol0-8,false,107.6458,30,2,0,8,99,16.43,0.46,0.71,-4.96,1.69,13,17,8,2.55,2.09,3.57,-1.34,2.81,107,19.4,0.49,0.77,-4.96
lb30-z2-vol0-99,false,107.6458,30,2,0,99,99,16.43,0.46,0.71,-4.96,1.69,13,17,8,2.55,2.09,3.57,-1.34,2.81,107,19.4,0.49,0.77,-4.96
lb30-z2-vol1-6,false,107.6458,30,2,1,6,99,16.43,0.46,0.71,-4.96,1.69,13,17,7,1.79,1.5,2.72,-1.34,2.28,106,18.51,0.47,0.74,-4.96
lb30-z2-vol1-8,false,107.6458,30,2,1,8,99,16.43,0.46,0.71,-4.96,1.69,13,17,8,2.55,2.09,3.57,-1.34,2.81,107,19.4,0.49,0.77,-4.96
lb30-z2-vol1-99,false,107.6458,30,2,1,99,99,16.43,0.46,0.71,-4.96,1.69,13,17,8,2.55,2.09,3.57,-1.34,2.81,107,19.4,0.49,0.77,-4.96
lb20-z0.35-vol2.5-8,false,107.5699,20,0.35,2.5,8,842,36.6,0.34,0.53,-17.08,1.13,10,17,63,9.98,2.1,3.23,-4.43,1.6,905,50.24,0.4,0.64,-17.08
