date,overnightRiskSplit,allYearSplit,currentComponentStrategyId,priorCloseComponentStrategyId,currentSessionSeason,priorCloseSeason,currentThesisKind,priorCloseThesisKind,targetUngPosition,priorCloseUngWeight,preTradeOpenUngWeight,deployedUngWeight,priorCloseOverlayActive,currentSessionOverlayActive,eitherOverlayActive,ungOvernightReturnPct,ungIntradayReturnPct,grossPortfolioCloseToOpenContributionPct,grossPortfolioOpenToCloseContributionPctOnOpenEquity,grossPortfolioInteractionContributionPct,grossPortfolioOpenToCloseContributionPctOnPriorCloseEquity,closeToOpenNetContributionPct,openToCloseNetContributionPct,additiveNetReturnPct,reportedNetReturnPct,reportedNetReconciliationResidualPct,reportedGrossReturnPct,grossAdditiveReturnPct,reportedGrossReconciliationResidualPct,grossUngCloseToOpenContributionPct,grossUngOpenToCloseContributionPctOnOpenEquity,grossUngOpenToCloseInteractionContributionPct,grossUngOpenToCloseContributionPctOnPriorCloseEquity,ungCloseToOpenNetContributionPct,ungOpenToCloseNetContributionPct,ungAdditiveNetContributionPct,grossIndexCloseToOpenContributionPct,grossIndexOpenToCloseContributionPctOnOpenEquity,grossIndexOpenToCloseInteractionContributionPct,grossIndexOpenToCloseContributionPctOnPriorCloseEquity,indexCloseToOpenNetContributionPct,indexOpenToCloseNetContributionPct,indexAdditiveNetContributionPct,openTradingCostPct,gasTradingCostPct,indexTradingCostPct,borrowCostPct,frictionContractId,frictionScenarioId,executionPriceConvention
2021-01-19,train,train,ngas-summer-alpha,ngas-summer-alpha,summer,summer,index-fallback,index-fallback,0,0,0,0,false,false,false,-5.62249415,-1.48935527,0.71990039,0.19341438,0.00139239,0.19480677,0.71990039,0.19480266,0.91470305,0.9147,0.00000305,0.9147,0.91470716,0.00000716,0,0,0,0,0,0,0,0.71990039,0.19341438,0.00139239,0.19480677,0.71990039,0.19480266,0.91470305,0.00000411,0,0.00000411,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-01-20,train,train,ngas-summer-alpha,ngas-summer-alpha,summer,summer,index-fallback,index-fallback,0,0,0,0,false,false,false,-1.61987655,1.86608214,0.75054012,0.76767123,0.00576168,0.77343291,0.75054012,0.77343291,1.52397303,1.524,-0.00002697,1.524,1.52397303,-0.00002697,0,0,0,0,0,0,0,0.75054012,0.76767123,0.00576168,0.77343291,0.75054012,0.77343291,1.52397303,0,0,0,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-01-21,train,train,ngas-summer-alpha,ngas-summer-alpha,summer,summer,index-fallback,index-fallback,0,0,0,0,false,false,false,-1.93964824,0.98900214,0.23345406,-0.00057134,-0.00000133,-0.00057267,0.23345406,-0.00062549,0.23282857,0.2328,0.00002857,0.2329,0.23288139,-0.00001861,0,0,0,0,0,0,0,0.23345406,-0.00057134,-0.00000133,-0.00057267,0.23345406,-0.00062549,0.23282857,0.00005282,0,0.00005282,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-01-22,train,train,ngas-summer-alpha,ngas-summer-alpha,summer,summer,index-fallback,index-fallback,0,0,0,0,false,false,false,-1.84982732,-0.11086728,-0.47396531,0.14092739,-0.00066795,0.14025944,-0.47396531,0.14025945,-0.33370586,-0.3337,-0.00000586,-0.3337,-0.33370587,-0.00000587,0,0,0,0,0,0,0,-0.47396531,0.14092739,-0.00066795,0.14025944,-0.47396531,0.14025944,-0.33370587,0,0,0,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-01-25,train,train,ngas-summer-alpha,ngas-summer-alpha,summer,summer,index-fallback,index-fallback,0,0,0,0,false,false,false,3.66259617,2.14132555,0.40530866,0.03892509,0.00015777,0.03908286,0.40530866,0.03906054,0.4443692,0.4444,-0.0000308,0.4444,0.44439152,-0.00000848,0,0,0,0,0,0,0,0.40530866,0.03892509,0.00015777,0.03908286,0.40530866,0.03906055,0.44436921,0.00002231,0,0.00002231,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-01-26,train,train,ngas-summer-alpha,ngas-summer-alpha,summer,summer,index-fallback,index-fallback,0,0,0,0,false,false,false,0.52411102,0.83420149,0.2906458,-0.3476905,-0.00101055,-0.34870105,0.2906458,-0.34870105,-0.05805525,-0.0581,0.00004475,-0.0581,-0.05805525,0.00004475,0,0,0,0,0,0,0,0.2906458,-0.3476905,-0.00101055,-0.34870105,0.2906458,-0.34870105,-0.05805525,0,0,0,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-01-27,train,train,ngas-summer-alpha,ngas-summer-alpha,summer,summer,index-fallback,index-fallback,0,0,0,0,false,false,false,1.75801525,-0.20325668,-0.83862144,-1.59612763,0.01338547,-1.58274216,-0.83862144,-1.58276858,-2.42139002,-2.4214,0.00000998,-2.4214,-2.4213636,0.0000364,0,0,0,0,0,0,0,-0.83862144,-1.59612763,0.01338547,-1.58274216,-0.83862144,-1.58276858,-2.42139002,0.00002642,0,0.00002642,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-01-28,train,train,ngas-winter-alpha,ngas-summer-alpha,winter,summer,warm-short,index-fallback,-0.5625,0,0,-0.55125,false,true,true,-0.50915722,0.61411938,0.46257516,-0.21247778,-0.00098287,-0.21346065,0.46257516,-0.23671793,0.22585723,0.2259,-0.00004277,0.2491,0.24911451,0.00001451,0,-0.33853331,-0.00156597,-0.34009928,0,-0.35782088,-0.35782088,0.46257516,0.12605553,0.0005831,0.12663863,0.46257516,0.12110295,0.58367811,0.02325728,0.0177216,0.00553568,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-01-29,train,train,ngas-winter-alpha,ngas-winter-alpha,winter,winter,warm-short,warm-short,-0.4612,-0.5559453,-0.54664041,-0.451976,true,true,true,-1.22075164,-3.0896003,0.46066466,0.59702384,0.00275028,0.59977412,0.46066466,0.5957148,1.05637946,1.0564,-0.00002054,1.0604,1.06043878,0.00003878,0.67867114,1.39642519,0.00643284,1.40285802,0.67867114,1.3998148,2.07848594,-0.21800648,-0.79940135,-0.00368256,-0.8030839,-0.21800648,-0.8041,-1.02210648,0.00405932,0.00304322,0.0010161,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-02-01,train,train,ngas-winter-alpha,ngas-winter-alpha,winter,winter,reversion-long,warm-short,0.25,-0.43542972,-0.49285476,0.245,true,true,true,9.24548246,0.3891047,-3.4832697,0.64454546,-0.02245126,0.6220942,-3.4832697,0.59743522,-2.88583448,-2.8858,-0.00003448,-2.8612,-2.8611755,0.0000245,-4.02575785,0.09533065,-0.00332062,0.09201003,-4.02575785,0.06922112,-3.95653673,0.54248815,0.54921481,-0.01913063,0.53008418,0.54248815,0.5282141,1.07070224,0.02465899,0.02278891,0.00187008,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
