candidateId,eligible,trainValidationRank,architectureId,sourceSetId,sourceWeightMode,sizingMode,anomalyThreshold,coverageThreshold,minConfidence,weatherFraction,reversionFraction,followHoldDays,reversionHoldDays,minRealizedMovePct,volTargetPct,signals,scheduledEvents,executedRows,weatherFollowRows,reversionRows,coldLongRows,warmShortRows,reversionLongRows,reversionShortRows,trainValidationColdLongReturnPct,trainValidationWarmShortReturnPct,trainValidationFollowReturnPct,trainValidationReversionLongReturnPct,trainValidationReversionShortReturnPct,trainValidationReversionReturnPct,holdoutFollowReturnPct,holdoutReversionReturnPct,overlayDays,fallbackDays,trainReturnPct,trainIndexReturnPct,trainEdgePct,trainSharpe,trainMaxDrawdownPct,profitableTrainYears,trainYearCount,validationReturnPct,validationIndexReturnPct,validationEdgePct,validationSharpe,validationMaxDrawdownPct,holdoutReturnPct,holdoutIndexReturnPct,holdoutEdgePct,holdoutSharpe,holdoutMaxDrawdownPct,allReturnPct,allIndexReturnPct,allEdgePct,allSharpe,allMaxDrawdownPct
dual-long-history-core-equal-a8-c0.35-q0.5-wf0.15-rf0.2-fh5-rh2-mv2-vol24-vol-target,false,28.9073,dual-weather-follow-and-fade,long-history-core,equal,vol-target,8,0.35,0.5,0.15,0.2,5,2,2,24,235,428,253,190,63,34,156,26,37,3.77,0.01,3.78,-1.69,0.6,-1.11,-0.1,-0.18,253,1109,32.95,33.7,-0.75,0.57,-26.63,3,4,27.21,29.08,-1.87,0.94,-19.59,14.5,10.94,3.56,1.57,-8.56,93.66,91.47,2.19,0.77,-26.63
dual-long-history-core-bg-shrink-a8-c0.35-q0.35-wf0.15-rf0.1-fh5-rh1-mv2-vol24-vol-target,false,28.9069,dual-weather-follow-and-fade,long-history-core,bg-shrink,vol-target,8,0.35,0.35,0.15,0.1,5,1,2,24,235,428,250,212,38,41,171,15,23,4.6,3.36,8.11,-0.26,-5.96,-6.21,0.67,-0.43,250,1112,33.7,33.7,0,0.58,-26.63,3,4,27.5,29.08,-1.58,0.95,-19.53,15.22,10.94,4.28,1.64,-8.07,96.42,91.47,4.95,0.79,-26.63
dual-long-history-core-bg-shrink-a8-c0.35-q0.5-wf0.15-rf0.1-fh5-rh1-mv2-vol24-vol-target,false,28.9069,dual-weather-follow-and-fade,long-history-core,bg-shrink,vol-target,8,0.35,0.5,0.15,0.1,5,1,2,24,234,426,250,212,38,41,171,15,23,4.6,3.36,8.11,-0.26,-5.96,-6.21,0.67,-0.43,250,1112,33.7,33.7,0,0.58,-26.63,3,4,27.5,29.08,-1.58,0.95,-19.53,15.22,10.94,4.28,1.64,-8.07,96.42,91.47,4.95,0.79,-26.63
dual-all-source-consensus-equal-a8-c0.35-q0.35-wf0.15-rf0.2-fh3-rh1-mv2-vol18-vol-target,false,28.9053,dual-weather-follow-and-fade,all-source-consensus,equal,vol-target,8,0.35,0.35,0.15,0.2,3,1,2,18,250,453,233,189,44,40,149,23,21,7.69,1.68,9.49,-2.71,-2.54,-5.19,-0.65,-5.68,233,1129,34.03,33.7,0.33,0.59,-26.63,3,4,27.14,29.08,-1.94,0.93,-20.23,10.54,10.94,-0.4,1.19,-9.89,88.36,91.47,-3.11,0.75,-26.63
dual-all-source-consensus-equal-a8-c0.35-q0.5-wf0.15-rf0.2-fh3-rh1-mv2-vol18-vol-target,false,28.9053,dual-weather-follow-and-fade,all-source-consensus,equal,vol-target,8,0.35,0.5,0.15,0.2,3,1,2,18,250,453,233,189,44,40,149,23,21,7.69,1.68,9.49,-2.71,-2.54,-5.19,-0.65,-5.68,233,1129,34.03,33.7,0.33,0.59,-26.63,3,4,27.14,29.08,-1.94,0.93,-20.23,10.54,10.94,-0.4,1.19,-9.89,88.36,91.47,-3.11,0.75,-26.63
dual-gfs-gefs-core-bg-shrink-a8-c0.35-q0.5-wf0.15-rf0.2-fh5-rh2-mv4-vol0-confidence-scaled,false,28.9009,dual-weather-follow-and-fade,gfs-gefs-core,bg-shrink,confidence-scaled,8,0.35,0.5,0.15,0.2,5,2,4,0,436,718,525,433,92,55,378,37,55,5.2,21.77,28.1,-3.88,-4.52,-8.23,5.32,-0.37,525,837,31.66,33.7,-2.04,0.56,-33.27,3,4,22.57,29.08,-6.51,0.79,-21.68,22.16,10.94,11.22,1.96,-8,97.13,91.47,5.66,0.78,-33.27
dual-all-source-consensus-bg-shrink-a8-c0.35-q0.35-wf0.15-rf0.2-fh5-rh2-mv2-vol18-vol-target,false,28.8922,dual-weather-follow-and-fade,all-source-consensus,bg-shrink,vol-target,8,0.35,0.35,0.15,0.2,5,2,2,18,249,455,253,188,65,35,153,26,39,3.29,4.37,7.8,-0.07,-4.41,-4.48,-1.98,1.65,253,1109,33.06,33.7,-0.64,0.58,-26.63,3,4,27.53,29.08,-1.55,0.94,-19.63,14.41,10.94,3.47,1.54,-9.14,94.14,91.47,2.67,0.78,-26.63
dual-all-source-consensus-bg-shrink-a8-c0.35-q0.5-wf0.15-rf0.2-fh5-rh2-mv2-vol18-vol-target,false,28.8922,dual-weather-follow-and-fade,all-source-consensus,bg-shrink,vol-target,8,0.35,0.5,0.15,0.2,5,2,2,18,249,455,253,188,65,35,153,26,39,3.29,4.37,7.8,-0.07,-4.41,-4.48,-1.98,1.65,253,1109,33.06,33.7,-0.64,0.58,-26.63,3,4,27.53,29.08,-1.55,0.94,-19.63,14.41,10.94,3.47,1.54,-9.14,94.14,91.47,2.67,0.78,-26.63
dual-all-source-consensus-bg-shrink-a5-c0.5-q0.35-wf0.15-rf0.2-fh5-rh2-mv4-vol18-vol-target,false,28.89,dual-weather-follow-and-fade,all-source-consensus,bg-shrink,vol-target,5,0.5,0.35,0.15,0.2,5,2,4,18,251,418,253,193,60,38,155,25,35,3.74,2.43,6.26,-0.16,-2.68,-2.84,1.2,-1.11,253,1109,34.13,33.7,0.43,0.59,-26.63,3,4,26.84,29.08,-2.24,0.93,-20.09,14.91,10.94,3.97,1.59,-9.25,95.5,91.47,4.03,0.78,-26.63
dual-all-source-consensus-bg-shrink-a5-c0.5-q0.5-wf0.15-rf0.2-fh5-rh2-mv4-vol18-vol-target,false,28.89,dual-weather-follow-and-fade,all-source-consensus,bg-shrink,vol-target,5,0.5,0.5,0.15,0.2,5,2,4,18,251,418,253,193,60,38,155,25,35,3.74,2.43,6.26,-0.16,-2.68,-2.84,1.2,-1.11,253,1109,34.13,33.7,0.43,0.59,-26.63,3,4,26.84,29.08,-2.24,0.93,-20.09,14.91,10.94,3.97,1.59,-9.25,95.5,91.47,4.03,0.78,-26.63
