eventId,startDate,endDate,peakDate,minWeightedAnomalyF,maxCoveragePct,qualifyingDays,source
actual-cold-1,2025-11-10,2025-11-11,2025-11-10,-9.13,0.613,2,NASA POWER actual anomaly basket
actual-cold-2,2025-12-04,2025-12-05,2025-12-04,-10.57,0.651,2,NASA POWER actual anomaly basket
actual-cold-3,2025-12-14,2025-12-15,2025-12-14,-14.58,0.849,2,NASA POWER actual anomaly basket
actual-cold-4,2026-01-24,2026-02-01,2026-01-26,-15.24,1,9,NASA POWER actual anomaly basket
actual-cold-5,2026-03-17,2026-03-17,2026-03-17,-12.04,0.717,1,NASA POWER actual anomaly basket
