date,weightedAnomalyF,coveragePct,extremeCount,sampledWeight,locationCount,heatingSeason,qualifies,source
2021-01-01,3.6,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-02,5.43,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-03,2.79,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-04,3.2,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-05,4.05,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-06,4.19,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-07,2.82,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-08,0.14,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-09,-1.52,0.047,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-10,-1.78,0.179,1,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-11,-2.96,0.132,1,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-12,-1.8,0.132,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-13,2.45,0.066,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-14,6.67,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-15,6.45,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-16,4.5,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-17,3.79,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-18,4.72,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-19,5.27,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-20,3.79,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-21,6.77,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-22,2.24,0.066,1,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-23,-1.78,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-24,2.04,0.057,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-25,6.16,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-26,5.25,0.066,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-27,0.24,0.066,1,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-28,-5.07,0.179,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-29,-4.67,0.302,1,1.06,18,true,false,NASA POWER actual anomaly basket
