candidateId,eligible,trainValidationRank,architectureId,sourceSetId,sizingMode,anomalyThreshold,coverageThreshold,minConfidence,weatherFraction,reversionFraction,followHoldDays,reversionHoldDays,minRealizedMovePct,signals,events,overlayDays,fallbackDays,trainReturnPct,trainIndexReturnPct,trainEdgePct,trainSharpe,trainMaxDrawdownPct,profitableTrainYears,trainYearCount,validationReturnPct,validationIndexReturnPct,validationEdgePct,validationSharpe,validationMaxDrawdownPct,holdoutReturnPct,holdoutIndexReturnPct,holdoutEdgePct,holdoutSharpe,holdoutMaxDrawdownPct,allReturnPct,allIndexReturnPct,allEdgePct,allSharpe,allMaxDrawdownPct
fade-only-long-history-core-a8-c0.5-q0.35-wf0.25-rf0.2-fh3-rh1-mv2-fixed,true,34.9615,fade-only,long-history-core,fixed,8,0.5,0.35,0.25,0.2,3,1,2,218,175,133,1229,35.85,33.7,2.15,0.61,-26.63,3,4,35.31,29.08,6.23,1.13,-21.13,15.47,10.94,4.53,1.62,-6.86,112.25,91.47,20.78,0.86,-26.63
fade-only-long-history-core-a8-c0.5-q0.35-wf0.4-rf0.2-fh3-rh1-mv2-fixed,true,34.9615,fade-only,long-history-core,fixed,8,0.5,0.35,0.4,0.2,3,1,2,218,175,133,1229,35.85,33.7,2.15,0.61,-26.63,3,4,35.31,29.08,6.23,1.13,-21.13,15.47,10.94,4.53,1.62,-6.86,112.25,91.47,20.78,0.86,-26.63
fade-only-long-history-core-a8-c0.5-q0.5-wf0.25-rf0.2-fh3-rh1-mv2-fixed,true,34.9615,fade-only,long-history-core,fixed,8,0.5,0.5,0.25,0.2,3,1,2,218,175,133,1229,35.85,33.7,2.15,0.61,-26.63,3,4,35.31,29.08,6.23,1.13,-21.13,15.47,10.94,4.53,1.62,-6.86,112.25,91.47,20.78,0.86,-26.63
fade-only-long-history-core-a8-c0.5-q0.5-wf0.4-rf0.2-fh3-rh1-mv2-fixed,true,34.9615,fade-only,long-history-core,fixed,8,0.5,0.5,0.4,0.2,3,1,2,218,175,133,1229,35.85,33.7,2.15,0.61,-26.63,3,4,35.31,29.08,6.23,1.13,-21.13,15.47,10.94,4.53,1.62,-6.86,112.25,91.47,20.78,0.86,-26.63
fade-only-all-source-consensus-a8-c0.35-q0.35-wf0.25-rf0.2-fh3-rh1-mv4-confidence-scaled,true,34.7967,fade-only,all-source-consensus,confidence-scaled,8,0.35,0.35,0.25,0.2,3,1,4,251,142,99,1263,36.21,33.7,2.51,0.61,-26.63,3,4,35.5,29.08,6.42,1.14,-21.02,17.35,10.94,6.41,1.84,-7.16,116.6,91.47,25.13,0.89,-26.63
fade-only-all-source-consensus-a8-c0.35-q0.35-wf0.4-rf0.2-fh3-rh1-mv4-confidence-scaled,true,34.7967,fade-only,all-source-consensus,confidence-scaled,8,0.35,0.35,0.4,0.2,3,1,4,251,142,99,1263,36.21,33.7,2.51,0.61,-26.63,3,4,35.5,29.08,6.42,1.14,-21.02,17.35,10.94,6.41,1.84,-7.16,116.6,91.47,25.13,0.89,-26.63
fade-only-all-source-consensus-a8-c0.35-q0.5-wf0.25-rf0.2-fh3-rh1-mv4-confidence-scaled,true,34.7967,fade-only,all-source-consensus,confidence-scaled,8,0.35,0.5,0.25,0.2,3,1,4,251,142,99,1263,36.21,33.7,2.51,0.61,-26.63,3,4,35.5,29.08,6.42,1.14,-21.02,17.35,10.94,6.41,1.84,-7.16,116.6,91.47,25.13,0.89,-26.63
fade-only-all-source-consensus-a8-c0.35-q0.5-wf0.4-rf0.2-fh3-rh1-mv4-confidence-scaled,true,34.7967,fade-only,all-source-consensus,confidence-scaled,8,0.35,0.5,0.4,0.2,3,1,4,251,142,99,1263,36.21,33.7,2.51,0.61,-26.63,3,4,35.5,29.08,6.42,1.14,-21.02,17.35,10.94,6.41,1.84,-7.16,116.6,91.47,25.13,0.89,-26.63
fade-only-all-source-consensus-a8-c0.35-q0.35-wf0.25-rf0.2-fh3-rh1-mv4-fixed,true,34.7292,fade-only,all-source-consensus,fixed,8,0.35,0.35,0.25,0.2,3,1,4,251,142,99,1263,36.21,33.7,2.51,0.61,-26.63,3,4,35.45,29.08,6.37,1.14,-21.02,17.35,10.94,6.41,1.84,-7.16,116.52,91.47,25.05,0.88,-26.63
fade-only-all-source-consensus-a8-c0.35-q0.35-wf0.4-rf0.2-fh3-rh1-mv4-fixed,true,34.7292,fade-only,all-source-consensus,fixed,8,0.35,0.35,0.4,0.2,3,1,4,251,142,99,1263,36.21,33.7,2.51,0.61,-26.63,3,4,35.45,29.08,6.37,1.14,-21.02,17.35,10.94,6.41,1.84,-7.16,116.52,91.47,25.05,0.88,-26.63
