strategyId,issueDate,targetDate,entryTradeDate,targetTradeDate,sourceId,sourceGroup,thesisKind,leadDays,direction,weightedAnomalyF,coveragePct,extremeCount,acceptProbability,grossReturnPct,netReturnPct,rank
minimum-trade__combined__all-confirmed-sources__fixed-theory-gate__lambda008-threshold055,2025-12-07,2025-12-15,2025-12-08,2025-12-15,graphcastgfs,ncep,cold-long,8,long,-17.608,1,11,0.67107,-17.319,-17.383,2.59115
minimum-trade__combined__all-confirmed-sources__fixed-theory-gate__lambda008-threshold055,2026-01-19,2026-01-26,2026-01-20,2026-01-26,gem-global,gem,cold-long,7,long,-25.792,1,18,0.91884,19.887,19.823,4.80444
minimum-trade__combined__all-confirmed-sources__fixed-theory-gate__lambda008-threshold055,2026-02-01,2026-02-11,2026-02-02,2026-02-11,aigfs,ncep,warm-short,10,short,10.981,0.651,7,0.57035,2.992,2.928,1.37104
minimum-trade__combined__all-confirmed-sources__fixed-theory-gate__lambda008-threshold055,2026-02-16,2026-02-26,2026-02-17,2026-02-26,gfs,ncep,warm-short,10,short,12.472,0.632,9,0.73265,4.37,4.306,1.89897
minimum-trade__combined__all-confirmed-sources__fixed-theory-gate__lambda008-threshold055,2026-03-01,2026-03-10,2026-03-02,2026-03-10,gfs,ncep,warm-short,9,short,22.098,1,17,0.83615,-2.25,-2.314,3.89201
minimum-trade__combined__all-confirmed-sources__fixed-theory-gate__lambda008-threshold055,2026-03-21,2026-03-31,2026-03-23,2026-03-31,gfs,ncep,warm-short,10,short,15.987,0.906,10,0.92083,0,-0.064,3.17431
minimum-trade__warm-short__long-history-cross-provider__broader-coverage__lambda004-threshold055,2025-11-09,2025-11-17,2025-11-10,2025-11-17,gefs-mean,ncep,warm-short,8,short,11.144,0.925,4,0.55624,-0.142,-0.206,1.48377
minimum-trade__warm-short__long-history-cross-provider__broader-coverage__lambda004-threshold055,2026-03-01,2026-03-11,2026-03-02,2026-03-11,ecmwf-ifs,ecmwf,warm-short,10,short,24.594,1,18,0.95757,-7.333,-7.397,4.83485
minimum-trade__warm-short__long-history-cross-provider__broader-coverage__lambda004-threshold055,2026-03-21,2026-03-31,2026-03-23,2026-03-31,gfs,ncep,warm-short,10,short,15.987,0.906,10,0.98632,0,-0.064,3.40007
