selectedForLane,lane,sourceSet,sourceIds,baseFilter,modelGrid,lambda,acceptThreshold,sourceSpreadOk,fitForValidationCount,validationCandidateCount,validationTradeCount,validationTotalReturnPct,validationSharpe,validationMaxDrawdownPct,validationRank,fitForTestCount,testCandidateCount,testTradeCount,testTotalReturnPct,testSharpe,testMaxDrawdownPct,testWinRatePct,testProfitFactor,finalRank,firstEntry,lastExit,recordId
false,warm-short,precutoff-trained-sources,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|ecmwf-aifs|gem-global,extreme-count-7,lambda008-threshold060,0.008,0.6,true,59,20,2,0.27,0.5,-1.02,1.316,79,54,4,-8.91,-1.76,-8.91,25,0.21,-12.732,2025-11-24,2026-03-31,warm-short__precutoff-trained-sources__extreme-count-7__lambda008-threshold060
false,warm-short,precutoff-trained-sources,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|ecmwf-aifs|gem-global,extreme-count-7,lambda016-threshold055,0.016,0.55,true,59,20,2,0.27,0.5,-1.02,1.316,79,54,4,-8.91,-1.76,-8.91,25,0.21,-12.732,2025-11-24,2026-03-31,warm-short__precutoff-trained-sources__extreme-count-7__lambda016-threshold055
false,warm-short,precutoff-trained-sources,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|ecmwf-aifs|gem-global,extreme-count-7,lambda016-threshold060,0.016,0.6,true,59,20,2,0.27,0.5,-1.02,1.316,79,54,4,-8.91,-1.76,-8.91,25,0.21,-12.732,2025-11-24,2026-03-31,warm-short__precutoff-trained-sources__extreme-count-7__lambda016-threshold060
false,warm-short,precutoff-trained-sources,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|ecmwf-aifs|gem-global,extreme-count-7,lambda004-threshold055,0.004,0.55,true,59,20,2,0.27,0.5,-1.02,1.316,79,54,4,-8.91,-1.76,-8.91,25,0.21,-12.732,2025-11-24,2026-03-31,warm-short__precutoff-trained-sources__extreme-count-7__lambda004-threshold055
false,warm-short,core-cross-provider-no-ai,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|gem-global,fixed-theory-gate,lambda008-threshold055,0.008,0.55,true,60,32,3,2.85,2.97,-1.02,7.851,92,63,3,-5.23,-1.55,-7.46,33.3,0.32,-8.597,2026-02-09,2026-03-31,warm-short__core-cross-provider-no-ai__fixed-theory-gate__lambda008-threshold055
false,warm-short,core-cross-provider-no-ai,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|gem-global,fixed-theory-gate,lambda008-threshold060,0.008,0.6,true,60,32,3,2.85,2.97,-1.02,7.851,92,63,3,-5.23,-1.55,-7.46,33.3,0.32,-8.597,2026-02-09,2026-03-31,warm-short__core-cross-provider-no-ai__fixed-theory-gate__lambda008-threshold060
false,warm-short,core-cross-provider-no-ai,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|gem-global,fixed-theory-gate,lambda016-threshold055,0.016,0.55,true,60,32,3,2.85,2.97,-1.02,7.851,92,63,3,-5.23,-1.55,-7.46,33.3,0.32,-8.597,2026-02-09,2026-03-31,warm-short__core-cross-provider-no-ai__fixed-theory-gate__lambda016-threshold055
false,warm-short,core-cross-provider-no-ai,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|gem-global,fixed-theory-gate,lambda016-threshold060,0.016,0.6,true,60,32,3,2.85,2.97,-1.02,7.851,92,63,3,-5.23,-1.55,-7.46,33.3,0.32,-8.597,2026-02-09,2026-03-31,warm-short__core-cross-provider-no-ai__fixed-theory-gate__lambda016-threshold060
false,warm-short,core-cross-provider-no-ai,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|gem-global,fixed-theory-gate,lambda004-threshold055,0.004,0.55,true,60,32,3,2.85,2.97,-1.02,7.851,92,63,3,-5.23,-1.55,-7.46,33.3,0.32,-8.597,2026-02-09,2026-03-31,warm-short__core-cross-provider-no-ai__fixed-theory-gate__lambda004-threshold055
false,warm-short,core-cross-provider-no-ai,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|gem-global,broader-coverage,lambda008-threshold055,0.008,0.55,true,51,23,3,4.29,7.24,0,15.9,74,54,3,-5.23,-1.55,-7.46,33.3,0.32,-8.597,2026-02-09,2026-03-31,warm-short__core-cross-provider-no-ai__broader-coverage__lambda008-threshold055
false,warm-short,core-cross-provider-no-ai,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|gem-global,broader-coverage,lambda008-threshold060,0.008,0.6,true,51,23,3,4.29,7.24,0,15.9,74,54,3,-5.23,-1.55,-7.46,33.3,0.32,-8.597,2026-02-09,2026-03-31,warm-short__core-cross-provider-no-ai__broader-coverage__lambda008-threshold060
false,warm-short,core-cross-provider-no-ai,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|gem-global,broader-coverage,lambda016-threshold055,0.016,0.55,true,51,23,3,4.29,7.24,0,15.9,74,54,3,-5.23,-1.55,-7.46,33.3,0.32,-8.597,2026-02-09,2026-03-31,warm-short__core-cross-provider-no-ai__broader-coverage__lambda016-threshold055
false,warm-short,core-cross-provider-no-ai,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|gem-global,broader-coverage,lambda016-threshold060,0.016,0.6,true,51,23,3,4.29,7.24,0,15.9,74,54,3,-5.23,-1.55,-7.46,33.3,0.32,-8.597,2026-02-09,2026-03-31,warm-short__core-cross-provider-no-ai__broader-coverage__lambda016-threshold060
false,warm-short,core-cross-provider-no-ai,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|gem-global,broader-coverage,lambda004-threshold055,0.004,0.55,true,51,23,3,4.29,7.24,0,15.9,74,54,3,-5.23,-1.55,-7.46,33.3,0.32,-8.597,2026-02-09,2026-03-31,warm-short__core-cross-provider-no-ai__broader-coverage__lambda004-threshold055
false,warm-short,core-cross-provider-no-ai,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|gem-global,extreme-count-7,lambda008-threshold055,0.008,0.55,true,51,20,2,0.27,0.5,-1.02,1.316,71,54,4,-8.91,-1.76,-8.91,25,0.21,-12.732,2025-11-24,2026-03-31,warm-short__core-cross-provider-no-ai__extreme-count-7__lambda008-threshold055
false,warm-short,core-cross-provider-no-ai,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|gem-global,extreme-count-7,lambda008-threshold060,0.008,0.6,true,51,20,2,0.27,0.5,-1.02,1.316,71,54,4,-8.91,-1.76,-8.91,25,0.21,-12.732,2025-11-24,2026-03-31,warm-short__core-cross-provider-no-ai__extreme-count-7__lambda008-threshold060
false,warm-short,core-cross-provider-no-ai,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|gem-global,extreme-count-7,lambda016-threshold055,0.016,0.55,true,51,20,2,0.27,0.5,-1.02,1.316,71,54,4,-8.91,-1.76,-8.91,25,0.21,-12.732,2025-11-24,2026-03-31,warm-short__core-cross-provider-no-ai__extreme-count-7__lambda016-threshold055
false,warm-short,core-cross-provider-no-ai,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|gem-global,extreme-count-7,lambda016-threshold060,0.016,0.6,true,51,20,2,0.27,0.5,-1.02,1.316,71,54,4,-8.91,-1.76,-8.91,25,0.21,-12.732,2025-11-24,2026-03-31,warm-short__core-cross-provider-no-ai__extreme-count-7__lambda016-threshold060
false,warm-short,core-cross-provider-no-ai,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|gem-global,extreme-count-7,lambda004-threshold055,0.004,0.55,true,51,20,2,0.27,0.5,-1.02,1.316,71,54,4,-8.91,-1.76,-8.91,25,0.21,-12.732,2025-11-24,2026-03-31,warm-short__core-cross-provider-no-ai__extreme-count-7__lambda004-threshold055
false,warm-short,long-history-cross-provider,gfs|gefs-mean|ecmwf-ifs|gem-global,fixed-theory-gate,lambda008-threshold055,0.008,0.55,true,48,24,3,2.85,2.97,-1.02,7.851,72,53,3,-5.23,-1.55,-7.46,33.3,0.32,-8.597,2026-02-09,2026-03-31,warm-short__long-history-cross-provider__fixed-theory-gate__lambda008-threshold055
false,warm-short,long-history-cross-provider,gfs|gefs-mean|ecmwf-ifs|gem-global,fixed-theory-gate,lambda008-threshold060,0.008,0.6,true,48,24,3,2.85,2.97,-1.02,7.851,72,53,3,-5.23,-1.55,-7.46,33.3,0.32,-8.597,2026-02-09,2026-03-31,warm-short__long-history-cross-provider__fixed-theory-gate__lambda008-threshold060
false,warm-short,long-history-cross-provider,gfs|gefs-mean|ecmwf-ifs|gem-global,fixed-theory-gate,lambda016-threshold055,0.016,0.55,true,48,24,3,2.85,2.97,-1.02,7.851,72,53,3,-5.23,-1.55,-7.46,33.3,0.32,-8.597,2026-02-09,2026-03-31,warm-short__long-history-cross-provider__fixed-theory-gate__lambda016-threshold055
false,warm-short,long-history-cross-provider,gfs|gefs-mean|ecmwf-ifs|gem-global,fixed-theory-gate,lambda016-threshold060,0.016,0.6,true,48,24,3,2.85,2.97,-1.02,7.851,72,53,3,-5.23,-1.55,-7.46,33.3,0.32,-8.597,2026-02-09,2026-03-31,warm-short__long-history-cross-provider__fixed-theory-gate__lambda016-threshold060
false,warm-short,long-history-cross-provider,gfs|gefs-mean|ecmwf-ifs|gem-global,fixed-theory-gate,lambda004-threshold055,0.004,0.55,true,48,24,3,2.85,2.97,-1.02,7.851,72,53,3,-5.23,-1.55,-7.46,33.3,0.32,-8.597,2026-02-09,2026-03-31,warm-short__long-history-cross-provider__fixed-theory-gate__lambda004-threshold055
true,warm-short,long-history-cross-provider,gfs|gefs-mean|ecmwf-ifs|gem-global,broader-coverage,lambda008-threshold055,0.008,0.55,true,41,15,2,3.91,12.71,0,23.475,56,46,2,-7.46,-3.61,-7.46,0,0,-10014.067,2026-03-02,2026-03-31,warm-short__long-history-cross-provider__broader-coverage__lambda008-threshold055
false,warm-short,long-history-cross-provider,gfs|gefs-mean|ecmwf-ifs|gem-global,broader-coverage,lambda008-threshold060,0.008,0.6,true,41,15,2,3.91,12.71,0,23.475,56,46,2,-7.46,-3.61,-7.46,0,0,-10014.067,2026-03-02,2026-03-31,warm-short__long-history-cross-provider__broader-coverage__lambda008-threshold060
false,warm-short,long-history-cross-provider,gfs|gefs-mean|ecmwf-ifs|gem-global,broader-coverage,lambda016-threshold055,0.016,0.55,true,41,15,2,3.91,12.71,0,23.475,56,46,2,-7.46,-3.61,-7.46,0,0,-10014.067,2026-03-02,2026-03-31,warm-short__long-history-cross-provider__broader-coverage__lambda016-threshold055
false,warm-short,long-history-cross-provider,gfs|gefs-mean|ecmwf-ifs|gem-global,broader-coverage,lambda016-threshold060,0.016,0.6,true,41,15,2,3.91,12.71,0,23.475,56,46,2,-7.46,-3.61,-7.46,0,0,-10014.067,2026-03-02,2026-03-31,warm-short__long-history-cross-provider__broader-coverage__lambda016-threshold060
false,warm-short,long-history-cross-provider,gfs|gefs-mean|ecmwf-ifs|gem-global,broader-coverage,lambda004-threshold055,0.004,0.55,true,41,15,2,3.91,12.71,0,23.475,56,46,3,-7.65,-1.7,-7.65,0,0,-11.28,2025-11-10,2026-03-31,warm-short__long-history-cross-provider__broader-coverage__lambda004-threshold055
false,warm-short,long-history-cross-provider,gfs|gefs-mean|ecmwf-ifs|gem-global,extreme-count-7,lambda008-threshold055,0.008,0.55,true,43,12,1,1.3,0,0,-9998.45,55,45,4,-8.91,-1.76,-8.91,25,0.21,-12.732,2025-11-24,2026-03-31,warm-short__long-history-cross-provider__extreme-count-7__lambda008-threshold055
false,warm-short,long-history-cross-provider,gfs|gefs-mean|ecmwf-ifs|gem-global,extreme-count-7,lambda008-threshold060,0.008,0.6,true,43,12,1,1.3,0,0,-9998.45,55,45,4,-8.91,-1.76,-8.91,25,0.21,-12.732,2025-11-24,2026-03-31,warm-short__long-history-cross-provider__extreme-count-7__lambda008-threshold060
false,warm-short,long-history-cross-provider,gfs|gefs-mean|ecmwf-ifs|gem-global,extreme-count-7,lambda016-threshold055,0.016,0.55,true,43,12,1,1.3,0,0,-9998.45,55,45,4,-8.91,-1.76,-8.91,25,0.21,-12.732,2025-11-24,2026-03-31,warm-short__long-history-cross-provider__extreme-count-7__lambda016-threshold055
false,warm-short,long-history-cross-provider,gfs|gefs-mean|ecmwf-ifs|gem-global,extreme-count-7,lambda016-threshold060,0.016,0.6,true,43,12,1,1.3,0,0,-9998.45,55,45,4,-8.91,-1.76,-8.91,25,0.21,-12.732,2025-11-24,2026-03-31,warm-short__long-history-cross-provider__extreme-count-7__lambda016-threshold060
false,warm-short,long-history-cross-provider,gfs|gefs-mean|ecmwf-ifs|gem-global,extreme-count-7,lambda004-threshold055,0.004,0.55,true,43,12,1,1.3,0,0,-9998.45,55,45,4,-8.91,-1.76,-8.91,25,0.21,-12.732,2025-11-24,2026-03-31,warm-short__long-history-cross-provider__extreme-count-7__lambda004-threshold055
false,warm-short,ncep-gem-cross-provider,gfs|gefs-mean|gem-global,fixed-theory-gate,lambda008-threshold055,0.008,0.55,true,34,13,2,3.91,12.71,0,23.475,47,33,3,-0.03,0.02,-2.38,33.3,1.01,-0.026,2026-02-09,2026-03-31,warm-short__ncep-gem-cross-provider__fixed-theory-gate__lambda008-threshold055
false,warm-short,ncep-gem-cross-provider,gfs|gefs-mean|gem-global,fixed-theory-gate,lambda008-threshold060,0.008,0.6,true,34,13,2,3.91,12.71,0,23.475,47,33,3,-0.03,0.02,-2.38,33.3,1.01,-0.026,2026-02-09,2026-03-31,warm-short__ncep-gem-cross-provider__fixed-theory-gate__lambda008-threshold060
false,warm-short,ncep-gem-cross-provider,gfs|gefs-mean|gem-global,fixed-theory-gate,lambda016-threshold055,0.016,0.55,true,34,13,2,3.91,12.71,0,23.475,47,33,3,-0.03,0.02,-2.38,33.3,1.01,-0.026,2026-02-09,2026-03-31,warm-short__ncep-gem-cross-provider__fixed-theory-gate__lambda016-threshold055
false,warm-short,ncep-gem-cross-provider,gfs|gefs-mean|gem-global,fixed-theory-gate,lambda016-threshold060,0.016,0.6,true,34,13,2,3.91,12.71,0,23.475,47,33,3,-0.03,0.02,-2.38,33.3,1.01,-0.026,2026-02-09,2026-03-31,warm-short__ncep-gem-cross-provider__fixed-theory-gate__lambda016-threshold060
false,warm-short,ncep-gem-cross-provider,gfs|gefs-mean|gem-global,fixed-theory-gate,lambda004-threshold055,0.004,0.55,true,34,13,2,3.91,12.71,0,23.475,47,33,3,-0.03,0.02,-2.38,33.3,1.01,-0.026,2026-02-09,2026-03-31,warm-short__ncep-gem-cross-provider__fixed-theory-gate__lambda004-threshold055
false,warm-short,ncep-gem-cross-provider,gfs|gefs-mean|gem-global,broader-coverage,lambda008-threshold055,0.008,0.55,true,31,7,2,3.91,12.71,0,23.475,38,30,3,-2.58,-1.91,-2.58,0,0,-5.511,2025-11-10,2026-03-31,warm-short__ncep-gem-cross-provider__broader-coverage__lambda008-threshold055
false,warm-short,ncep-gem-cross-provider,gfs|gefs-mean|gem-global,broader-coverage,lambda008-threshold060,0.008,0.6,true,31,7,2,3.91,12.71,0,23.475,38,30,3,-2.58,-1.91,-2.58,0,0,-5.511,2025-11-10,2026-03-31,warm-short__ncep-gem-cross-provider__broader-coverage__lambda008-threshold060
false,warm-short,ncep-gem-cross-provider,gfs|gefs-mean|gem-global,broader-coverage,lambda016-threshold055,0.016,0.55,true,31,7,2,3.91,12.71,0,23.475,38,30,3,-2.58,-1.91,-2.58,0,0,-5.511,2025-11-10,2026-03-31,warm-short__ncep-gem-cross-provider__broader-coverage__lambda016-threshold055
false,warm-short,ncep-gem-cross-provider,gfs|gefs-mean|gem-global,broader-coverage,lambda016-threshold060,0.016,0.6,true,31,7,2,3.91,12.71,0,23.475,38,30,3,-2.58,-1.91,-2.58,0,0,-5.511,2025-11-10,2026-03-31,warm-short__ncep-gem-cross-provider__broader-coverage__lambda016-threshold060
false,warm-short,ncep-gem-cross-provider,gfs|gefs-mean|gem-global,broader-coverage,lambda004-threshold055,0.004,0.55,true,31,7,2,3.91,12.71,0,23.475,38,30,3,-2.58,-1.91,-2.58,0,0,-5.511,2025-11-10,2026-03-31,warm-short__ncep-gem-cross-provider__broader-coverage__lambda004-threshold055
false,warm-short,ncep-gem-cross-provider,gfs|gefs-mean|gem-global,extreme-count-7,lambda008-threshold055,0.008,0.55,true,31,5,1,1.3,0,0,-9998.45,36,28,3,-0.03,0.02,-2.38,33.3,1.01,-0.026,2026-02-09,2026-03-31,warm-short__ncep-gem-cross-provider__extreme-count-7__lambda008-threshold055
false,warm-short,ncep-gem-cross-provider,gfs|gefs-mean|gem-global,extreme-count-7,lambda008-threshold060,0.008,0.6,true,31,5,1,1.3,0,0,-9998.45,36,28,2,-2.38,-3.75,-2.38,0,0,-10008.181,2026-03-02,2026-03-31,warm-short__ncep-gem-cross-provider__extreme-count-7__lambda008-threshold060
false,warm-short,ncep-gem-cross-provider,gfs|gefs-mean|gem-global,extreme-count-7,lambda016-threshold055,0.016,0.55,true,31,5,1,1.3,0,0,-9998.45,36,28,3,-0.03,0.02,-2.38,33.3,1.01,-0.026,2026-02-09,2026-03-31,warm-short__ncep-gem-cross-provider__extreme-count-7__lambda016-threshold055
false,warm-short,ncep-gem-cross-provider,gfs|gefs-mean|gem-global,extreme-count-7,lambda016-threshold060,0.016,0.6,true,31,5,1,1.3,0,0,-9998.45,36,28,2,-2.38,-3.75,-2.38,0,0,-10008.181,2026-03-02,2026-03-31,warm-short__ncep-gem-cross-provider__extreme-count-7__lambda016-threshold060
false,warm-short,ncep-gem-cross-provider,gfs|gefs-mean|gem-global,extreme-count-7,lambda004-threshold055,0.004,0.55,true,31,5,1,1.3,0,0,-9998.45,36,28,3,-0.03,0.02,-2.38,33.3,1.01,-0.026,2026-02-09,2026-03-31,warm-short__ncep-gem-cross-provider__extreme-count-7__lambda004-threshold055
