issueDate,targetDate,leadDays,windowId,modelId,symbol,priorTradeDate,entryTradeDate,targetTradeDate,priorClose,entryClose,targetClose,returnPctPriorCloseToTarget,returnPctEntryCloseToTarget,qualifies
2024-03-15,2024-03-23,8,rumor,ecmwf-aifs-00z-aws-open,NG=F,2024-03-14,2024-03-15,2024-03-22,1.7410000562667847,1.6549999713897705,1.659000039100647,-4.71,0.242,false
2024-03-15,2024-03-25,10,rumor,ecmwf-aifs-00z-aws-open,UNG,2024-03-14,2024-03-15,2024-03-25,15.569999694824219,15.130000114440918,15.039999961853027,-3.404,-0.595,false
2024-03-15,2024-03-25,10,rumor,ecmwf-aifs-00z-aws-open,NG=F,2024-03-14,2024-03-15,2024-03-25,1.7410000562667847,1.6549999713897705,1.6150000095367432,-7.237,-2.417,false
2024-03-16,2024-03-19,3,selloff,ecmwf-aifs-00z-aws-open,UNG,2024-03-15,2024-03-18,2024-03-19,15.130000114440918,15.34000015258789,15.640000343322754,3.371,1.956,false
2024-03-16,2024-03-19,3,selloff,ecmwf-aifs-00z-aws-open,NG=F,2024-03-15,2024-03-18,2024-03-19,1.6549999713897705,1.7029999494552612,1.74399995803833,5.378,2.408,false
2024-03-16,2024-03-18,2,selloff,ecmwf-aifs-00z-aws-open,UNG,2024-03-15,2024-03-18,2024-03-18,15.130000114440918,15.34000015258789,15.34000015258789,1.388,0,false
2024-03-16,2024-03-18,2,selloff,ecmwf-aifs-00z-aws-open,NG=F,2024-03-15,2024-03-18,2024-03-18,1.6549999713897705,1.7029999494552612,1.7029999494552612,2.9,0,false
2024-03-16,2024-03-24,8,rumor,ecmwf-aifs-00z-aws-open,UNG,2024-03-15,2024-03-18,2024-03-22,15.130000114440918,15.34000015258789,15.109999656677246,-0.132,-1.499,false
2024-03-16,2024-03-24,8,rumor,ecmwf-aifs-00z-aws-open,NG=F,2024-03-15,2024-03-18,2024-03-22,1.6549999713897705,1.7029999494552612,1.659000039100647,0.242,-2.584,false
2024-03-16,2024-03-23,7,rumor,ecmwf-aifs-00z-aws-open,UNG,2024-03-15,2024-03-18,2024-03-22,15.130000114440918,15.34000015258789,15.109999656677246,-0.132,-1.499,false
2024-03-16,2024-03-23,7,rumor,ecmwf-aifs-00z-aws-open,NG=F,2024-03-15,2024-03-18,2024-03-22,1.6549999713897705,1.7029999494552612,1.659000039100647,0.242,-2.584,false
2024-03-17,2024-03-18,1,selloff,ecmwf-aifs-00z-aws-open,UNG,2024-03-15,2024-03-18,2024-03-18,15.130000114440918,15.34000015258789,15.34000015258789,1.388,0,false
2024-03-17,2024-03-18,1,selloff,ecmwf-aifs-00z-aws-open,NG=F,2024-03-15,2024-03-18,2024-03-18,1.6549999713897705,1.7029999494552612,1.7029999494552612,2.9,0,false
2024-03-16,2024-03-25,9,rumor,ecmwf-aifs-00z-aws-open,UNG,2024-03-15,2024-03-18,2024-03-25,15.130000114440918,15.34000015258789,15.039999961853027,-0.595,-1.956,false
2024-03-16,2024-03-25,9,rumor,ecmwf-aifs-00z-aws-open,NG=F,2024-03-15,2024-03-18,2024-03-25,1.6549999713897705,1.7029999494552612,1.6150000095367432,-2.417,-5.167,false
2024-03-16,2024-03-26,10,rumor,ecmwf-aifs-00z-aws-open,UNG,2024-03-15,2024-03-18,2024-03-26,15.130000114440918,15.34000015258789,14.960000038146973,-1.124,-2.477,false
2024-03-16,2024-03-26,10,rumor,ecmwf-aifs-00z-aws-open,NG=F,2024-03-15,2024-03-18,2024-03-26,1.6549999713897705,1.7029999494552612,1.5750000476837158,-4.834,-7.516,false
2024-03-17,2024-03-19,2,selloff,ecmwf-aifs-00z-aws-open,UNG,2024-03-15,2024-03-18,2024-03-19,15.130000114440918,15.34000015258789,15.640000343322754,3.371,1.956,false
2024-03-17,2024-03-19,2,selloff,ecmwf-aifs-00z-aws-open,NG=F,2024-03-15,2024-03-18,2024-03-19,1.6549999713897705,1.7029999494552612,1.74399995803833,5.378,2.408,false
2024-03-17,2024-03-24,7,rumor,ecmwf-aifs-00z-aws-open,UNG,2024-03-15,2024-03-18,2024-03-22,15.130000114440918,15.34000015258789,15.109999656677246,-0.132,-1.499,false
2024-03-17,2024-03-24,7,rumor,ecmwf-aifs-00z-aws-open,NG=F,2024-03-15,2024-03-18,2024-03-22,1.6549999713897705,1.7029999494552612,1.659000039100647,0.242,-2.584,false
2024-03-17,2024-03-20,3,selloff,ecmwf-aifs-00z-aws-open,UNG,2024-03-15,2024-03-18,2024-03-20,15.130000114440918,15.34000015258789,15.369999885559082,1.586,0.196,false
2024-03-17,2024-03-20,3,selloff,ecmwf-aifs-00z-aws-open,NG=F,2024-03-15,2024-03-18,2024-03-20,1.6549999713897705,1.7029999494552612,1.6990000009536743,2.659,-0.235,false
2024-03-17,2024-03-25,8,rumor,ecmwf-aifs-00z-aws-open,UNG,2024-03-15,2024-03-18,2024-03-25,15.130000114440918,15.34000015258789,15.039999961853027,-0.595,-1.956,false
2024-03-17,2024-03-25,8,rumor,ecmwf-aifs-00z-aws-open,NG=F,2024-03-15,2024-03-18,2024-03-25,1.6549999713897705,1.7029999494552612,1.6150000095367432,-2.417,-5.167,false
2024-03-17,2024-03-26,9,rumor,ecmwf-aifs-00z-aws-open,UNG,2024-03-15,2024-03-18,2024-03-26,15.130000114440918,15.34000015258789,14.960000038146973,-1.124,-2.477,false
2024-03-17,2024-03-26,9,rumor,ecmwf-aifs-00z-aws-open,NG=F,2024-03-15,2024-03-18,2024-03-26,1.6549999713897705,1.7029999494552612,1.5750000476837158,-4.834,-7.516,false
2024-03-17,2024-03-27,10,rumor,ecmwf-aifs-00z-aws-open,UNG,2024-03-15,2024-03-18,2024-03-27,15.130000114440918,15.34000015258789,14.350000381469727,-5.155,-6.454,false
2024-03-17,2024-03-27,10,rumor,ecmwf-aifs-00z-aws-open,NG=F,2024-03-15,2024-03-18,2024-03-27,1.6549999713897705,1.7029999494552612,1.718000054359436,3.807,0.881,false
