date,symbol,weightedAnomalyF,coveragePct,extremeCount,sampledWeight,locationCount,heatingSeason,qualifies,open,close,volume,storageBcf,dailyReturnPct
2021-01-04,UNG,3.2,0,0,1.06,18,true,false,38,37.799999,1085225,3330,2.717
2021-01-04,NG=F,3.2,0,0,1.06,18,true,false,2.626,2.581,128377,3330,1.654
2021-01-05,UNG,4.05,0,0,1.06,18,true,false,38.959999,39.119999,1484150,3330,3.492
2021-01-05,NG=F,4.05,0,0,1.06,18,true,false,2.599,2.702,149828,3330,4.688
2021-01-06,UNG,4.19,0,0,1.06,18,true,false,38.560001,39.32,1213100,3330,0.511
2021-01-06,NG=F,4.19,0,0,1.06,18,true,false,2.688,2.716,144690,3330,0.518
2021-01-07,UNG,2.82,0,0,1.06,18,true,false,39.360001,38.799999,1146625,3330,-1.322
2021-01-07,NG=F,2.82,0,0,1.06,18,true,false,2.722,2.729,135480,3330,0.479
2021-01-08,UNG,0.14,0,0,1.06,18,true,false,38.599998,39,985850,3196,0.515
2021-01-08,NG=F,0.14,0,0,1.06,18,true,false,2.675,2.7,148730,3196,-1.063
2021-01-11,UNG,-2.96,0.132,1,1.06,18,true,false,38.040001,40.400002,1500325,3196,3.59
2021-01-11,NG=F,-2.96,0.132,1,1.06,18,true,false,2.6,2.747,177248,3196,1.741
2021-01-12,UNG,-1.8,0.132,0,1.06,18,true,false,41.32,39.68,1660250,3196,-1.782
2021-01-12,NG=F,-1.8,0.132,0,1.06,18,true,false,2.794,2.753,201432,3196,0.218
2021-01-13,UNG,2.45,0.066,0,1.06,18,true,false,39.919998,39.759998,1435175,3196,0.202
2021-01-13,NG=F,2.45,0.066,0,1.06,18,true,false,2.737,2.727,169240,3196,-0.944
2021-01-14,UNG,6.67,0,0,1.06,18,true,false,39.68,38.720001,1506325,3196,-2.616
2021-01-14,NG=F,6.67,0,0,1.06,18,true,false,2.742,2.666,163043,3196,-2.237
2021-01-15,UNG,6.45,0,0,1.06,18,true,false,40.32,39.84,1236725,3009,2.893
2021-01-15,NG=F,6.45,0,0,1.06,18,true,false,2.672,2.737,150994,3009,2.663
2021-01-19,UNG,5.27,0,0,1.06,18,true,false,37.599998,37.040001,1796800,3009,-7.028
2021-01-19,NG=F,5.27,0,0,1.06,18,true,false,2.652,2.546,211313,3009,-6.978
2021-01-20,UNG,3.79,0,0,1.06,18,true,false,36.439999,37.119999,1309850,3009,0.216
2021-01-20,NG=F,3.79,0,0,1.06,18,true,false,2.544,2.539,133437,3009,-0.275
2021-01-21,UNG,6.77,0,0,1.06,18,true,false,36.400002,36.759998,1233650,3009,-0.97
2021-01-21,NG=F,6.77,0,0,1.06,18,true,false,2.532,2.491,100319,3009,-1.891
2021-01-22,UNG,2.24,0.066,1,1.06,18,true,false,36.080002,36.040001,1310325,2881,-1.959
2021-01-22,NG=F,2.24,0.066,1,1.06,18,true,false,2.492,2.446,63833,2881,-1.806
2021-01-25,UNG,6.16,0,0,1.06,18,true,false,37.360001,38.16,1357275,2881,5.882
2021-01-25,NG=F,6.16,0,0,1.06,18,true,false,2.542,2.602,42988,2881,6.378
2021-01-26,UNG,5.25,0.066,0,1.06,18,true,false,38.360001,38.68,880475,2881,1.363
2021-01-26,NG=F,5.25,0.066,0,1.06,18,true,false,2.603,2.656,32233,2881,2.075
2021-01-27,UNG,0.24,0.066,1,1.06,18,true,false,39.360001,39.279999,1526450,2881,1.551
2021-01-27,NG=F,0.24,0.066,1,1.06,18,true,false,2.65,2.76,153190,2881,3.916
2021-01-28,UNG,-5.07,0.179,0,1.06,18,true,false,39.080002,39.32,1652775,2881,0.102
2021-01-28,NG=F,-5.07,0.179,0,1.06,18,true,false,2.675,2.664,159820,2881,-3.478
2021-01-29,UNG,-4.67,0.302,1,1.06,18,true,false,38.84,37.639999,1401825,2689,-4.273
2021-01-29,NG=F,-4.67,0.302,1,1.06,18,true,false,2.68,2.564,133177,2689,-3.754
2021-02-01,UNG,-1.18,0,0,1.06,18,true,false,41.119999,41.279999,2674625,2689,9.671
2021-02-01,NG=F,-1.18,0,0,1.06,18,true,false,2.73,2.85,243658,2689,11.154
2021-02-02,UNG,-1.29,0.066,0,1.06,18,true,false,43.639999,41.560001,2080625,2689,0.678
2021-02-02,NG=F,-1.29,0.066,0,1.06,18,true,false,2.829,2.845,236392,2689,-0.175
2021-02-03,UNG,-0.94,0.066,0,1.06,18,true,false,41.48,40.560001,1369450,2689,-2.406
2021-02-03,NG=F,-0.94,0.066,0,1.06,18,true,false,2.827,2.789,158484,2689,-1.968
2021-02-04,UNG,1.05,0,0,1.06,18,true,false,41.040001,43.360001,1931350,2689,6.903
2021-02-04,NG=F,1.05,0,0,1.06,18,true,false,2.776,2.935,186926,2689,5.235
2021-02-05,UNG,-0.67,0.151,0,1.06,18,true,false,44.599998,42.119999,2064800,2518,-2.86
2021-02-05,NG=F,-0.67,0.151,0,1.06,18,true,false,2.957,2.863,270029,2518,-2.453
2021-02-08,UNG,-7.91,0.547,2,1.06,18,true,false,42.32,42.360001,1178350,2518,0.57
2021-02-08,NG=F,-7.91,0.547,2,1.06,18,true,false,2.909,2.882,194660,2518,0.664
2021-02-09,UNG,-3.31,0.387,2,1.06,18,true,false,41.279999,41.240002,896925,2518,-2.644
2021-02-09,NG=F,-3.31,0.387,2,1.06,18,true,false,2.883,2.835,196927,2518,-1.631
2021-02-10,UNG,-5.26,0.434,3,1.06,18,true,false,42.040001,43.400002,1428800,2518,5.238
2021-02-10,NG=F,-5.26,0.434,3,1.06,18,true,false,2.819,2.911,266986,2518,2.681
2021-02-11,UNG,-6.36,0.387,3,1.06,18,true,false,43.959999,41.759998,2091275,2518,-3.779
2021-02-11,NG=F,-6.36,0.387,3,1.06,18,true,false,2.975,2.868,261922,2518,-1.477
2021-02-12,UNG,-9.27,0.387,5,1.06,18,true,false,42.32,42.68,887150,2281,2.203
2021-02-12,NG=F,-9.27,0.387,5,1.06,18,true,false,2.87,2.912,190054,2281,1.534
2021-02-16,UNG,-10.83,0.5,9,1.06,18,true,false,45.16,44.400002,2418125,2281,4.03
2021-02-16,NG=F,-10.83,0.5,9,1.06,18,true,false,3.046,3.129,288942,2281,7.452
2021-02-17,UNG,-12.39,0.566,9,1.06,18,true,true,44.32,45.200001,2029200,2281,1.802
