issueDate,targetDate,leadDays,windowId,modelId,weightedAnomalyF,coveragePct,extremeCount,sampledWeight,locationCount,sampledValidHoursUtc,qualifies,source
2024-03-16,2024-03-18,2,selloff,ecmwf-aifs-00z-aws-open,5.051,0,0,1.06,18,0,false,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240316/00z/aifs/0p25/oper/20240316000000-48h-oper-fc.grib2"
2024-03-16,2024-03-24,8,rumor,ecmwf-aifs-00z-aws-open,3.757,0,0,1.06,18,0,false,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240316/00z/aifs/0p25/oper/20240316000000-192h-oper-fc.grib2"
2024-03-16,2024-03-23,7,rumor,ecmwf-aifs-00z-aws-open,3.087,0,0,1.06,18,0,false,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240316/00z/aifs/0p25/oper/20240316000000-168h-oper-fc.grib2"
2024-03-17,2024-03-18,1,selloff,ecmwf-aifs-00z-aws-open,4.967,0,0,1.06,18,0,false,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240317/00z/aifs/0p25/oper/20240317000000-24h-oper-fc.grib2"
2024-03-16,2024-03-25,9,rumor,ecmwf-aifs-00z-aws-open,3.751,0,0,1.06,18,0,false,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240316/00z/aifs/0p25/oper/20240316000000-216h-oper-fc.grib2"
2024-03-16,2024-03-26,10,rumor,ecmwf-aifs-00z-aws-open,4.955,0,0,1.06,18,0,false,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240316/00z/aifs/0p25/oper/20240316000000-240h-oper-fc.grib2"
2024-03-17,2024-03-19,2,selloff,ecmwf-aifs-00z-aws-open,-2.806,0.245,1,1.06,18,0,false,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240317/00z/aifs/0p25/oper/20240317000000-48h-oper-fc.grib2"
2024-03-17,2024-03-24,7,rumor,ecmwf-aifs-00z-aws-open,4.808,0,0,1.06,18,0,false,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240317/00z/aifs/0p25/oper/20240317000000-168h-oper-fc.grib2"
2024-03-17,2024-03-20,3,selloff,ecmwf-aifs-00z-aws-open,5.173,0,0,1.06,18,0,false,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240317/00z/aifs/0p25/oper/20240317000000-72h-oper-fc.grib2"
2024-03-17,2024-03-25,8,rumor,ecmwf-aifs-00z-aws-open,9.028,0,0,1.06,18,0,false,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240317/00z/aifs/0p25/oper/20240317000000-192h-oper-fc.grib2"
2024-03-17,2024-03-26,9,rumor,ecmwf-aifs-00z-aws-open,6.338,0.038,1,1.06,18,0,false,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240317/00z/aifs/0p25/oper/20240317000000-216h-oper-fc.grib2"
2024-03-17,2024-03-27,10,rumor,ecmwf-aifs-00z-aws-open,0.869,0.132,0,1.06,18,0,false,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240317/00z/aifs/0p25/oper/20240317000000-240h-oper-fc.grib2"
2024-03-18,2024-03-20,2,selloff,ecmwf-aifs-00z-aws-open,5.543,0,0,1.06,18,0,false,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240318/00z/aifs/0p25/oper/20240318000000-48h-oper-fc.grib2"
2024-03-18,2024-03-19,1,selloff,ecmwf-aifs-00z-aws-open,-2.038,0.245,0,1.06,18,0,false,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240318/00z/aifs/0p25/oper/20240318000000-24h-oper-fc.grib2"
2024-03-18,2024-03-21,3,selloff,ecmwf-aifs-00z-aws-open,3.764,0.066,0,1.06,18,0,false,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240318/00z/aifs/0p25/oper/20240318000000-72h-oper-fc.grib2"
2024-03-18,2024-03-25,7,rumor,ecmwf-aifs-00z-aws-open,7.835,0,0,1.06,18,0,false,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240318/00z/aifs/0p25/oper/20240318000000-168h-oper-fc.grib2"
