date,open,high,low,close,volume,contract,storageBcf
1993-01-29,43.96875,43.96875,43.75,24.113250732421875,1003200,SPY,0
1993-02-01,43.96875,44.25,43.96875,24.284759521484375,480500,SPY,0
1993-02-02,44.21875,44.375,44.125,24.336217880249023,201300,SPY,0
1993-02-03,44.40625,44.84375,44.375,24.593467712402344,529400,SPY,0
1993-02-04,44.96875,45.09375,44.46875,24.696380615234375,531500,SPY,0
1993-02-05,44.96875,45.0625,44.71875,24.679214477539062,492100,SPY,0
1993-02-08,44.96875,45.125,44.90625,24.679214477539062,596100,SPY,0
1993-02-09,44.8125,44.8125,44.5625,24.50772476196289,122100,SPY,0
1993-02-10,44.65625,44.75,44.53125,24.54201316833496,379600,SPY,0
1993-02-11,44.78125,45.125,44.78125,24.662073135375977,19500,SPY,0
1993-02-12,44.875,44.875,44.59375,24.473398208618164,42500,SPY,0
1993-02-16,44.46875,44.46875,43.40625,23.856002807617188,374800,SPY,0
1993-02-17,43.46875,43.53125,43.28125,23.838855743408203,210900,SPY,0
1993-02-18,43.9375,43.9375,42.8125,23.82171058654785,378100,SPY,0
1993-02-19,43.40625,43.5625,43.34375,23.90745735168457,34900,SPY,0
1993-02-22,43.6875,43.78125,43.5625,23.993196487426758,513600,SPY,0
1993-02-23,43.84375,43.875,43.46875,23.976064682006836,373700,SPY,0
1993-02-24,43.71875,44.25,43.71875,24.284759521484375,26300,SPY,0
1993-02-25,44.21875,44.375,44.125,24.336217880249023,44500,SPY,0
1993-02-26,44.4375,44.4375,44.1875,24.37051010131836,66200,SPY,0
1993-03-01,44.5625,44.5625,44.21875,24.301923751831055,66500,SPY,0
1993-03-02,44.3125,44.9375,44.25,24.662073135375977,182400,SPY,0
1993-03-03,45,45.15625,44.9375,24.764968872070312,280100,SPY,0
1993-03-04,45.1875,45.1875,44.875,24.62775993347168,89500,SPY,0
1993-03-05,44.9375,45.125,44.71875,24.559152603149414,40000,SPY,0
1993-03-08,44.84375,45.75,44.84375,25.107980728149414,50800,SPY,0
1993-03-09,45.65625,45.6875,45.5,25.022233963012695,169300,SPY,0
1993-03-10,45.59375,45.6875,45.40625,25.07366371154785,194400,SPY,0
1993-03-11,45.71875,45.84375,45.5,25.00508689880371,70900,SPY,0
1993-03-12,45.1875,45.21875,44.8125,24.74782371520996,643600,SPY,0
1993-03-15,45.0625,45.3125,45.0625,24.86785888671875,310800,SPY,0
1993-03-16,45.3125,45.4375,45.3125,24.86785888671875,30800,SPY,0
1993-03-17,45.25,45.25,44.96875,24.71352767944336,21800,SPY,0
1993-03-18,45.21875,45.5,45.21875,24.86785888671875,59300,SPY,0
1993-03-19,45.28125,45.28125,45.03125,24.830244064331055,66900,SPY,0
1993-03-22,44.59375,44.875,44.5625,24.6923885345459,183400,SPY,0
1993-03-23,44.90625,44.9375,44.8125,24.744081497192383,55200,SPY,0
