date,open,high,low,close,adjustedClose,volume,symbol,source
2008-01-24,309,317.75,309,316.5,316.5,1534,ZO=F,Yahoo chart API continuous-futures proxy
2008-01-25,318.25,324.75,312.25,320.25,320.25,892,ZO=F,Yahoo chart API continuous-futures proxy
2008-01-28,320.25,328.75,320.25,323,323,1202,ZO=F,Yahoo chart API continuous-futures proxy
2008-01-29,325,328.75,319.75,324.25,324.25,1067,ZO=F,Yahoo chart API continuous-futures proxy
2008-01-30,324.5,325.5,320.25,323,323,2132,ZO=F,Yahoo chart API continuous-futures proxy
2008-01-31,323,332,321.5,329.25,329.25,2696,ZO=F,Yahoo chart API continuous-futures proxy
2008-02-01,329.25,338,325.5,323,323,2442,ZO=F,Yahoo chart API continuous-futures proxy
2008-02-04,323.5,338,323.5,335.5,335.5,663,ZO=F,Yahoo chart API continuous-futures proxy
2008-02-05,337.25,349,334,337.5,337.5,998,ZO=F,Yahoo chart API continuous-futures proxy
2008-02-06,339,349.75,336,338.5,338.5,2377,ZO=F,Yahoo chart API continuous-futures proxy
2008-02-07,339.5,344.5,337,340.75,340.75,841,ZO=F,Yahoo chart API continuous-futures proxy
2008-02-08,342.75,355,342.75,350,350,1083,ZO=F,Yahoo chart API continuous-futures proxy
2008-02-11,350,361.5,330,344,344,938,ZO=F,Yahoo chart API continuous-futures proxy
2008-02-12,345,348,337.5,341.5,341.5,1247,ZO=F,Yahoo chart API continuous-futures proxy
2008-02-13,342,346.25,339,344,344,464,ZO=F,Yahoo chart API continuous-futures proxy
2008-02-14,344,356.75,344,354.5,354.5,704,ZO=F,Yahoo chart API continuous-futures proxy
2008-02-15,355.5,359,350.75,358,358,1427,ZO=F,Yahoo chart API continuous-futures proxy
2008-02-19,357,369.25,357,368,368,3935,ZO=F,Yahoo chart API continuous-futures proxy
2008-02-20,368,375.75,363.5,375,375,857,ZO=F,Yahoo chart API continuous-futures proxy
2008-02-21,375,384.75,369.5,383.75,383.75,1056,ZO=F,Yahoo chart API continuous-futures proxy
2008-02-22,383.75,384.75,377.25,384,384,1322,ZO=F,Yahoo chart API continuous-futures proxy
2008-02-25,386.25,404,386.25,404,404,599,ZO=F,Yahoo chart API continuous-futures proxy
2008-02-26,413.25,423.75,384,417.25,417.25,721,ZO=F,Yahoo chart API continuous-futures proxy
2008-02-27,415.75,416.25,399,412.5,412.5,1066,ZO=F,Yahoo chart API continuous-futures proxy
2008-02-28,409,414.5,408.5,414.5,414.5,480,ZO=F,Yahoo chart API continuous-futures proxy
2008-02-29,412.5,421,412.5,422,422,105,ZO=F,Yahoo chart API continuous-futures proxy
2008-03-03,426,438.5,424.75,434,434,93,ZO=F,Yahoo chart API continuous-futures proxy
2008-03-04,434.25,435.25,418.75,416.5,416.5,91,ZO=F,Yahoo chart API continuous-futures proxy
2008-03-05,416.75,426.25,415.25,418,418,25,ZO=F,Yahoo chart API continuous-futures proxy
2008-03-06,410,410,410,410,410,15,ZO=F,Yahoo chart API continuous-futures proxy
2008-03-07,410,410,394,391,391,42,ZO=F,Yahoo chart API continuous-futures proxy
2008-03-10,376,379.25,365,382,382,50,ZO=F,Yahoo chart API continuous-futures proxy
2008-03-11,397.75,398,397.75,395,395,60,ZO=F,Yahoo chart API continuous-futures proxy
2008-03-12,392,392,387,393,393,42,ZO=F,Yahoo chart API continuous-futures proxy
2008-03-13,397.5,397.5,393,393,393,48,ZO=F,Yahoo chart API continuous-futures proxy
2008-03-14,393,394,393,393,393,952,ZO=F,Yahoo chart API continuous-futures proxy
2008-03-17,390,399.75,372.5,372.5,372.5,753,ZO=F,Yahoo chart API continuous-futures proxy
2008-03-18,366.75,379,358,378,378,1092,ZO=F,Yahoo chart API continuous-futures proxy
2008-03-19,378,380,358,358,358,1038,ZO=F,Yahoo chart API continuous-futures proxy
2008-03-20,351,355.75,338,339,339,1169,ZO=F,Yahoo chart API continuous-futures proxy
2008-03-24,343.75,353.5,335.5,335.75,335.75,1367,ZO=F,Yahoo chart API continuous-futures proxy
2008-03-25,340.25,354.25,335,334,334,2082,ZO=F,Yahoo chart API continuous-futures proxy
2008-03-26,339.5,351.75,336.5,344.25,344.25,1128,ZO=F,Yahoo chart API continuous-futures proxy
2008-03-27,344,352.75,341.5,344.75,344.75,1370,ZO=F,Yahoo chart API continuous-futures proxy
2008-03-28,344.5,359.75,336.75,360.25,360.25,2967,ZO=F,Yahoo chart API continuous-futures proxy
2008-03-31,369.25,380.25,348,371.25,371.25,3272,ZO=F,Yahoo chart API continuous-futures proxy
2008-04-01,368,385,352,388,388,3272,ZO=F,Yahoo chart API continuous-futures proxy
2008-04-02,382.5,401.75,380,397,397,1387,ZO=F,Yahoo chart API continuous-futures proxy
2008-04-03,396.5,405.75,386,397,397,861,ZO=F,Yahoo chart API continuous-futures proxy
2008-04-04,392.5,396.25,380.5,385.5,385.5,694,ZO=F,Yahoo chart API continuous-futures proxy
2008-04-07,385.5,387.75,365.5,366.5,366.5,1112,ZO=F,Yahoo chart API continuous-futures proxy
2008-04-08,367,376.75,361.5,370.5,370.5,925,ZO=F,Yahoo chart API continuous-futures proxy
2008-04-09,376,389.5,376,389,389,1132,ZO=F,Yahoo chart API continuous-futures proxy
2008-04-10,388.75,395.75,377,387.25,387.25,560,ZO=F,Yahoo chart API continuous-futures proxy
2008-04-11,387.5,388.5,379.75,385,385,280,ZO=F,Yahoo chart API continuous-futures proxy
2008-04-14,387.75,389,382.25,386,386,533,ZO=F,Yahoo chart API continuous-futures proxy
2008-04-15,386.5,397.75,386.5,393,393,544,ZO=F,Yahoo chart API continuous-futures proxy
2008-04-16,395,398,373,386.5,386.5,622,ZO=F,Yahoo chart API continuous-futures proxy
2008-04-17,385.75,394.25,375,378.5,378.5,1739,ZO=F,Yahoo chart API continuous-futures proxy
2008-04-18,379,383.75,371.5,378,378,430,ZO=F,Yahoo chart API continuous-futures proxy
2008-04-21,374,374.25,358,372,372,776,ZO=F,Yahoo chart API continuous-futures proxy
2008-04-22,372,382.5,368,379,379,247,ZO=F,Yahoo chart API continuous-futures proxy
2008-04-23,389.25,389.75,372,374.5,374.5,213,ZO=F,Yahoo chart API continuous-futures proxy
2008-04-24,374.5,380,370,376.5,376.5,620,ZO=F,Yahoo chart API continuous-futures proxy
2008-04-25,370,375.5,369.75,369.5,369.5,291,ZO=F,Yahoo chart API continuous-futures proxy
2008-04-28,375.25,378,360,378.5,378.5,1676,ZO=F,Yahoo chart API continuous-futures proxy
2008-04-29,379,388,365.25,368.5,368.5,571,ZO=F,Yahoo chart API continuous-futures proxy
2008-04-30,370.25,376.5,367.75,377,377,524,ZO=F,Yahoo chart API continuous-futures proxy
2008-05-01,378.5,393,372.5,396.75,396.75,296,ZO=F,Yahoo chart API continuous-futures proxy
2008-05-02,394.25,413,389.5,401,401,63,ZO=F,Yahoo chart API continuous-futures proxy
2008-05-05,409.5,409.5,396.25,399,399,217,ZO=F,Yahoo chart API continuous-futures proxy
2008-05-06,400,406.25,400,408.5,408.5,36,ZO=F,Yahoo chart API continuous-futures proxy
2008-05-07,414.5,414.5,410,405,405,8,ZO=F,Yahoo chart API continuous-futures proxy
2008-05-08,404.5,404.5,404.5,404.5,404.5,11,ZO=F,Yahoo chart API continuous-futures proxy
2008-05-09,414,414,414,405,405,4,ZO=F,Yahoo chart API continuous-futures proxy
2008-05-12,405,405,405,405,405,1,ZO=F,Yahoo chart API continuous-futures proxy
2008-05-13,405,405,397.25,405,405,7,ZO=F,Yahoo chart API continuous-futures proxy
2008-05-14,405,405,405,405,405,607,ZO=F,Yahoo chart API continuous-futures proxy
2008-05-15,406,407.5,387.5,394,394,1443,ZO=F,Yahoo chart API continuous-futures proxy
2008-05-16,396,411.5,392,394,394,553,ZO=F,Yahoo chart API continuous-futures proxy
2008-05-19,392.75,398.25,390.5,391,391,689,ZO=F,Yahoo chart API continuous-futures proxy
2008-05-20,393.75,401.5,393.75,394,394,365,ZO=F,Yahoo chart API continuous-futures proxy
2008-05-21,395,402.25,393.75,396.5,396.5,490,ZO=F,Yahoo chart API continuous-futures proxy
2008-05-22,400,405.75,387.75,388.5,388.5,1326,ZO=F,Yahoo chart API continuous-futures proxy
2008-05-23,381,390.5,380.5,385.5,385.5,1419,ZO=F,Yahoo chart API continuous-futures proxy
2008-05-27,383.25,394.5,382.25,394,394,835,ZO=F,Yahoo chart API continuous-futures proxy
2008-05-28,390.75,392,380.5,390,390,728,ZO=F,Yahoo chart API continuous-futures proxy
2008-05-29,387.5,388,376.25,382,382,2799,ZO=F,Yahoo chart API continuous-futures proxy
2008-05-30,379.25,384.5,375.25,382,382,2020,ZO=F,Yahoo chart API continuous-futures proxy
2008-06-02,380,388.75,376.5,378,378,2385,ZO=F,Yahoo chart API continuous-futures proxy
2008-06-03,379,383,376.25,378,378,1521,ZO=F,Yahoo chart API continuous-futures proxy
2008-06-04,378.25,386,378.25,386,386,600,ZO=F,Yahoo chart API continuous-futures proxy
2008-06-05,387.75,404.75,387,404,404,2058,ZO=F,Yahoo chart API continuous-futures proxy
2008-06-06,403,409,400,399.25,399.25,1268,ZO=F,Yahoo chart API continuous-futures proxy
2008-06-09,404,413,383,394,394,1363,ZO=F,Yahoo chart API continuous-futures proxy
2008-06-10,394.25,396.75,380,393,393,1828,ZO=F,Yahoo chart API continuous-futures proxy
2008-06-11,393,413,392,413,413,1329,ZO=F,Yahoo chart API continuous-futures proxy
2008-06-12,417,426,403,420.5,420.5,734,ZO=F,Yahoo chart API continuous-futures proxy
