date,open,high,low,close,volume,contract,storageBcf
2000-06-02,50.859375,51.1875,50.859375,36.5758056640625,29400,IWM,0
2000-06-05,51.0625,51.5625,50.9375,36.44182586669922,48400,IWM,0
2000-06-06,51.8046875,52.40625,51.34375,36.79909896850586,151800,IWM,0
2000-06-07,51.1875,51.5625,50.71875,36.84377670288086,131000,IWM,0
2000-06-08,52.125,52.125,51.4375,36.754451751708984,91400,IWM,0
2000-06-09,51.9375,52.34375,51.90625,37.40200424194336,41600,IWM,0
2000-06-12,52.5,52.5,50.75,36.29110336303711,85200,IWM,0
2000-06-13,50.6640625,51.4375,50.1875,36.754451751708984,168200,IWM,0
2000-06-14,51.859375,51.859375,51.1875,36.5758056640625,43200,IWM,0
2000-06-15,50.875,51.25,50.3828125,36.62046813964844,26800,IWM,0
2000-06-16,51.46875,51.5,50.96875,36.41951370239258,30200,IWM,0
2000-06-19,51.25,52.25,51.015625,37.33501052856445,59200,IWM,0
2000-06-20,52.328125,52.671875,52.125,37.58064651489258,47000,IWM,0
2000-06-21,52.125,52.9375,52.125,37.78083038330078,66800,IWM,0
2000-06-22,53,53,51.25,36.64137268066406,139600,IWM,0
2000-06-23,51.75,51.75,50.5,36.39561080932617,235800,IWM,0
2000-06-26,51.109375,51.53125,50.875,36.84246063232422,93600,IWM,0
2000-06-27,51.609375,52.0625,50.71875,36.261558532714844,112800,IWM,0
2000-06-28,50.9375,52.1875,50.9375,37.17757034301758,170600,IWM,0
2000-06-29,51.75,51.84375,51.03125,36.59668731689453,212200,IWM,0
2000-06-30,51.21875,51.6796875,50.796875,36.94858169555664,1171800,IWM,0
2000-07-03,51.5625,52.40625,51.5,37.46803283691406,15800,IWM,0
2000-07-05,52.109375,52.125,51.6328125,37.04353713989258,138800,IWM,0
2000-07-06,51.828125,52.421875,51.34375,37.47919464111328,154600,IWM,0
2000-07-07,52.4296875,52.953125,52.4296875,37.71380615234375,71800,IWM,0
2000-07-10,52.71875,53.28125,52.71875,37.95956039428711,44800,IWM,0
2000-07-11,53,53.296875,52.84375,37.914886474609375,253200,IWM,0
2000-07-12,53.3125,54.09375,53.25,38.67453384399414,45200,IWM,0
2000-07-13,54.140625,54.265625,54,38.79740905761719,102600,IWM,0
2000-07-14,54.546875,54.546875,53.875,38.8309211730957,54800,IWM,0
