scenario,date,split,componentVariant,weatherResolutionAction,weatherResolutionScale,position,indexFraction,ungReturnPct,indexReturnPct,grossReturnPct,tradingCostPct,returnPct
current replay from positions,2021-02-16,train,winter-alpha,confirm-scaled,0.7905,-0.1976,0.8024,4.03,-0.1303,-0.9009,0.0037,-0.9046
current replay from positions,2021-02-17,train,winter-alpha,confirm-scaled,0.8004,-0.2001,0.7999,1.8018,-0.0809,-0.4253,0.0001,-0.4253
current replay from positions,2021-02-18,train,winter-alpha,adverse-shrunk,0.612,-0.4967,0.5033,-2.7434,-0.426,1.1482,0.0095,1.1387
current replay from positions,2021-02-19,train,winter-alpha,adverse-shrunk,0.7949,-0.5425,0.4575,1.5469,-0.248,-0.9527,0.0015,-0.9541
current replay from positions,2021-02-22,train,winter-alpha,adverse-shrunk,0.45,-0.4562,0.5438,-2.0609,-1.1308,0.3253,0.0028,0.3225
current replay from positions,2021-02-23,train,winter-alpha,no-reversion,1,0,1,-2.1958,0.0423,0.0423,0.0146,0.0277
current replay from positions,2021-02-24,train,summer-alpha,,1,0,1,-0.8684,1.0483,1.0483,0,1.0483
current replay from positions,2021-02-25,train,summer-alpha,,1,0,1,-2.698,-2.6262,-2.6262,0,-2.6262
current replay from positions,2021-02-26,train,summer-alpha,,1,0,1,-0.2161,-0.254,-0.254,0,-0.254
current replay from positions,2021-03-01,train,summer-alpha,,1,0,1,0.2165,2.4515,2.4515,0,2.4515
current replay from positions,2021-03-02,train,summer-alpha,,1,0,1,2.2326,-0.9437,-0.9437,0,-0.9437
current replay from positions,2021-03-03,train,winter-alpha,confirm-scaled,1.1174,-0.5625,0.4375,-1.3158,-1.6293,0.0273,0.018,0.0093
current replay from positions,2021-03-04,train,winter-alpha,confirm-scaled,1.1174,-0.5625,0.4375,-2.2857,-1.3224,0.7072,0,0.7072
current replay from positions,2021-03-05,train,winter-alpha,no-reversion,1,0,1,-1.7544,1.7982,1.7982,0.018,1.7802
