date,precipitationMm,siteId,cropId,latitude,longitude,source
2000-02-29,7.33,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-01,15.35,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-02,24.78,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-03,9.5,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-04,11.67,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-05,13.57,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-06,22.65,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-07,16.32,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-08,20.73,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-09,17.44,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-10,4.17,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-11,2.63,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-12,4.02,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-13,2.26,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-14,15.77,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-15,5.43,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-16,22.66,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-17,19.95,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-18,13.5,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-19,12.05,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-20,8.04,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-21,7.45,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-22,3.89,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-23,7.8,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-24,5.44,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-25,4.32,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-26,14.38,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-27,8.83,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-28,13.55,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-29,7.21,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-30,4.59,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-31,2.17,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-01,4.2,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-02,12.07,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-03,20.52,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-04,12.94,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-05,12.4,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-06,10.61,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-07,13.76,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-08,4.91,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-09,7.78,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-10,9.49,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-11,7.08,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-12,13.61,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-13,3.53,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-14,9.99,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-15,5.25,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-16,16,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-17,7.39,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-18,10.86,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-19,10.56,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-20,11.3,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-21,16.1,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-22,17.28,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-23,11.9,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-24,32.3,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-25,6.35,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-26,6.21,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-27,23.92,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
2000-04-28,19.77,coffee-colombia,coffee,5,-75.5,NASA POWER MERRA-2 PRECTOTCORR
