date,precipitationMm,siteId,cropId,latitude,longitude,source
2000-02-25,0.07,hrw-texas,kansas-wheat,35.5,-101.5,NASA POWER MERRA-2 PRECTOTCORR
2000-02-26,0,hrw-texas,kansas-wheat,35.5,-101.5,NASA POWER MERRA-2 PRECTOTCORR
2000-02-27,0,hrw-texas,kansas-wheat,35.5,-101.5,NASA POWER MERRA-2 PRECTOTCORR
2000-02-28,0,hrw-texas,kansas-wheat,35.5,-101.5,NASA POWER MERRA-2 PRECTOTCORR
2000-02-29,0,hrw-texas,kansas-wheat,35.5,-101.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-01,0.21,hrw-texas,kansas-wheat,35.5,-101.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-02,16.57,hrw-texas,kansas-wheat,35.5,-101.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-03,0.02,hrw-texas,kansas-wheat,35.5,-101.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-04,0,hrw-texas,kansas-wheat,35.5,-101.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-05,0,hrw-texas,kansas-wheat,35.5,-101.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-06,0.72,hrw-texas,kansas-wheat,35.5,-101.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-07,7.85,hrw-texas,kansas-wheat,35.5,-101.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-08,0,hrw-texas,kansas-wheat,35.5,-101.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-09,0,hrw-texas,kansas-wheat,35.5,-101.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-10,0.02,hrw-texas,kansas-wheat,35.5,-101.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-11,0,hrw-texas,kansas-wheat,35.5,-101.5,NASA POWER MERRA-2 PRECTOTCORR
2000-03-12,0,hrw-texas,kansas-wheat,35.5,-101.5,NASA POWER MERRA-2 PRECTOTCORR
