candidateId,rank,eligible,trainValidationScore,trainReturnPct,trainVsNonLivePct,trainVsCurrentLivePct,trainSharpe,trainMaxDrawdownPct,validationReturnPct,validationVsNonLivePct,validationVsCurrentLivePct,validationSharpe,validationMaxDrawdownPct,holdoutReturnPct,holdoutVsNonLivePct,holdoutVsCurrentLivePct,holdoutSharpe,holdoutMaxDrawdownPct,allReturnPct,allVsNonLivePct,allVsCurrentLivePct,allSharpe,allMaxDrawdownPct,sameBase,sameDivisor,sameMax,adverseBase,adverseDivisor,adverseMin,adverseMax,adverseDropThresholdF,standaloneMode,neutralScale,missingScale,actionCounts
sb0.85-sd8-sx1.375-ab0.8-ad12-an0.45-ax0.75-dropinf-stkeep-base-n0.85,5157,true,19.0602,188.05,9.31,1.76,1.65,-15.86,70,2.65,-0.75,2.61,-9.57,98.94,-3.63,-0.96,2.37,-16.73,874.22,29.25,-2.98,2,-15.86,0.85,8,1.375,0.8,12,0.45,0.75,Infinity,keep-base,0.85,1,adverse-shrunk:44|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-kept:10
sb0.75-sd10-sx1.125-ab0.8-ad12-an0-ax0.75-drop4-stkeep-base-n0.85,5158,true,19.0573,194.82,16.08,8.53,1.69,-15.86,67.98,0.63,-2.77,2.56,-9.57,97.62,-4.95,-2.28,2.35,-16.73,878.73,33.76,1.53,2.01,-15.86,0.75,10,1.125,0.8,12,0,0.75,4,keep-base,0.85,1,adverse-dropped:20|adverse-shrunk:24|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-kept:10
sb0.75-sd10-sx1.125-ab0.8-ad12-an0.25-ax0.75-drop4-stkeep-base-n0.85,5159,true,19.0573,194.82,16.08,8.53,1.69,-15.86,67.98,0.63,-2.77,2.56,-9.57,97.62,-4.95,-2.28,2.35,-16.73,878.73,33.76,1.53,2.01,-15.86,0.75,10,1.125,0.8,12,0.25,0.75,4,keep-base,0.85,1,adverse-dropped:20|adverse-shrunk:24|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-kept:10
sb0.75-sd10-sx1.125-ab0.8-ad12-an0.45-ax0.75-drop4-stkeep-base-n0.85,5160,true,19.0573,194.82,16.08,8.53,1.69,-15.86,67.98,0.63,-2.77,2.56,-9.57,97.62,-4.95,-2.28,2.35,-16.73,878.73,33.76,1.53,2.01,-15.86,0.75,10,1.125,0.8,12,0.45,0.75,4,keep-base,0.85,1,adverse-dropped:20|adverse-shrunk:24|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-kept:10
sb0.75-sd8-sx1.125-ab0.8-ad8-an0.25-ax0.75-dropinf-stadverse-scale-n0.85,5161,true,19.0537,189.31,10.57,3.02,1.66,-15.86,69.57,2.22,-1.18,2.61,-9.57,98.26,-4.31,-1.64,2.36,-16.72,872.64,27.67,-4.56,2,-15.86,0.75,8,1.125,0.8,8,0.25,0.75,Infinity,adverse-scale,0.85,1,adverse-shrunk:44|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-shrunk:10
sb0.75-sd10-sx1.375-ab0.9-ad8-an0.45-ax0.9-drop6-stkeep-base-n0.85,5162,true,19.0518,193.88,15.14,7.59,1.68,-15.86,68.25,0.9,-2.5,2.57,-9.57,97.13,-5.44,-2.77,2.34,-16.73,874.72,29.75,-2.48,2,-15.86,0.75,10,1.375,0.9,8,0.45,0.9,6,keep-base,0.85,1,adverse-dropped:11|adverse-shrunk:33|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-kept:10
sb0.75-sd8-sx1.125-ab0.9-ad12-an0-ax0.9-dropinf-stadverse-scale-n0.85,5163,true,19.0516,190.23,11.49,3.94,1.66,-15.86,69.32,1.97,-1.43,2.6,-9.57,99.42,-3.15,-0.48,2.37,-16.72,880.01,35.04,2.81,2.01,-15.86,0.75,8,1.125,0.9,12,0,0.9,Infinity,adverse-scale,0.85,1,adverse-shrunk:44|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-shrunk:10
sb0.75-sd8-sx1.125-ab0.8-ad8-an0.25-ax0.75-drop6-stkeep-base-n0.85,5164,true,19.0439,193.84,15.1,7.55,1.68,-15.86,68.26,0.91,-2.49,2.57,-9.57,97.16,-5.41,-2.74,2.34,-16.73,874.78,29.81,-2.42,2.01,-15.86,0.75,8,1.125,0.8,8,0.25,0.75,6,keep-base,0.85,1,adverse-dropped:11|adverse-shrunk:33|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-kept:10
sb0.85-sd6-sx1.25-ab0.9-ad10-an0.45-ax0.75-dropinf-stkeep-base-n0.85,5165,true,19.0373,189.19,10.45,2.9,1.65,-15.86,69.67,2.32,-1.08,2.6,-9.57,99.67,-2.9,-0.23,2.38,-16.73,879.7,34.73,2.5,2,-15.86,0.85,6,1.25,0.9,10,0.45,0.75,Infinity,keep-base,0.85,1,adverse-shrunk:44|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-kept:10
sb0.75-sd6-sx1.375-ab0.9-ad10-an0.45-ax0.75-dropinf-stkeep-base-n0.85,5166,true,19.0296,187.51,8.77,1.22,1.64,-15.86,70.18,2.83,-0.57,2.61,-9.57,99.21,-3.36,-0.69,2.37,-16.73,874.71,29.74,-2.49,2,-15.86,0.75,6,1.375,0.9,10,0.45,0.75,Infinity,keep-base,0.85,1,adverse-shrunk:44|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-kept:10
