cropId,crop,symbol,coreReturnPct,coreFallbackPct,coreEdgePct,coreRelativeReturnPct,coreExcessInformationRatio,coreAlphaPct,coreSharpe,coreMaxDrawdownPct,coreEntries,coreEntriesPerYear,exposed2026ReturnPct,exposed2026FallbackPct,exposed2026EdgePct,exactEraReturnPct,exactEraFallbackPct,exactEraEdgePct,exactEraRelativeReturnPct,futureFrozenCandidates
soybeans,Soybeans,ZS=F,833.34,837.33,-3.99,-0.43,0,0,0.88,-32.58,161,10.1,11.14,12.5,-1.35,141.21,138.62,2.59,1.09,warm-wet-short-rglobal-lb5-p0_25-t0_25-c1
corn,Corn,ZC=F,981,837.33,143.68,15.33,0.31,0.93,0.92,-32.22,213,13.3,12.6,12.5,0.11,188.05,138.62,49.44,20.72,warm-wet-short-rglobal-lb3-p0_25-t0_25-c3|hot-dry-long-rglobal-lb5-p0_75-t0_75-c0
